GENEID	X97	X99	X100	X103	X104	X105	X108	X109	X110	X111	X113	X114	X115	X116	X117	X118	X119	X120	X122	X123	X124	X125	X127	X131	X132	X133	X134	X135	X137	X138	X141	X143	X144	X148	X149	X150	X152	X153	X154	X155	X156	X158	X159	X160	X163	X164	X165	X167	X168	X169	X170	X173	X175	X176	X178	X179	X180	X181	X182	X183	X184	X185	X187	X188	X189	X191	X192
Abca1	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	6.00439882750478	3.00109916954915	6.00439882750478	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	3.00109916954915	3.00109916954915	0	1.00012209018435	2.00048844025395	3.00109916954915	0	2.00048844025395	2.00048844025395	0
Abca8a	0	1.00012209018435	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	11.0147970057849	0	9.00990220315199	0	0	1.00012209018435	0	1.00012209018435	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	4.00195439749781	1.00012209018435	0
Abcc9	1.00012209018435	4.00195439749781	0	0	3.00109916954915	0	0	0	4.00195439749781	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	0	0	0	9.00990220315199	0	0	4.00195439749781	0	0	0	0	0	0	0	5.00305424361532	0	2.00048844025395	0	0	0	4.00195439749781	0	0	2.00048844025395	0	1.00012209018435	3.00109916954915	3.00109916954915	4.00195439749781	1.00012209018435	7.00598826885697	3.00109916954915	1.00012209018435	0	3.00109916954915	0	0	0	5.00305424361532	4.00195439749781	0	0	2.00048844025395	4.00195439749781	6.00439882750478	0	0	0	1.00012209018435	6.00439882750478	0
Abi3bp	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	3.00109916954915	0	0	4.00195439749781	5.00305424361532	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	7.00598826885697	0
Ablim1	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	6.00439882750478	0	0	0	0
Acadl	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	2.00048844025395	1.00012209018435	4.00195439749781	1.00012209018435	0	0
Acta2	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	10.0122269359159	0	1.00012209018435	0	0	9.00990220315199	0	0	6.00439882750478	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	6.00439882750478	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0
Actb	0	50.3076822698104	12.0176125328898	3.00109916954915	22.0592944438992	0	16.0313316193744	1.00012209018435	14.0239804397716	10.0122269359159	1.00012209018435	7.00598826885697	2.00048844025395	0	26.0828704059517	9.00990220315199	25.0766058142306	15.0275330602518	5.00305424361532	6.00439882750478	6.00439882750478	18.0396670359275	4.00195439749781	6.00439882750478	3.00109916954915	3.00109916954915	10.0122269359159	2.00048844025395	7.00598826885697	2.00048844025395	2.00048844025395	13.0206736374495	7.00598826885697	20.048987655079	6.00439882750478	2.00048844025395	12.0176125328898	8.00782268745052	3.00109916954915	26.0828704059517	0	14.0239804397716	2.00048844025395	13.0206736374495	8.00782268745052	17.0353762377124	5.00305424361532	1.00012209018435	13.0206736374495	47.2717340146999	12.0176125328898	2.00048844025395	5.00305424361532	0	4.00195439749781	19.0442041347699	4.00195439749781	17.0353762377124	13.0206736374495	3.00109916954915	10.0122269359159	21.0540177177831	33.1336529167031	2.00048844025395	0	3.00109916954915	3.00109916954915
Actg1	2.00048844025395	15.0275330602518	9.00990220315199	6.00439882750478	8.00782268745052	1.00012209018435	4.00195439749781	0	3.00109916954915	6.00439882750478	0	3.00109916954915	0	0	6.00439882750478	7.00598826885697	24.0705883708827	12.0176125328898	14.0239804397716	3.00109916954915	4.00195439749781	8.00782268745052	0	1.00012209018435	7.00598826885697	0	3.00109916954915	2.00048844025395	1.00012209018435	6.00439882750478	14.0239804397716	3.00109916954915	6.00439882750478	11.0147970057849	0	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	7.00598826885697	0	3.00109916954915	2.00048844025395	8.00782268745052	0	3.00109916954915	1.00012209018435	1.00012209018435	8.00782268745052	12.0176125328898	8.00782268745052	2.00048844025395	1.00012209018435	0	3.00109916954915	7.00598826885697	1.00012209018435	10.0122269359159	11.0147970057849	0	1.00012209018435	11.0147970057849	39.186855988824	0	0	3.00109916954915	1.00012209018435
Actn1	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	0	5.00305424361532	0	0	1.00012209018435	2.00048844025395	2.00048844025395	3.00109916954915	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	0	0
