GENEID	X2	X12	X16	X19	X20	X22	X24	X26	X32	X34	X37	X39	X40	X42	X44	X47	X48	X54	X56	X60	X62	X63	X64	X68	X69	X70	X71	X72	X74	X76	X78	X79	X80	X84	X85	X86	X88	X93	X94	X95	X96
9530068E07Rik	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	6.00439882750478	2.00048844025395	2.00048844025395	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	7.00598826885697	0	1.00012209018435	0	2.00048844025395	4.00195439749781	0	7.00598826885697	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0
9930021J03Rik	4.00195439749781	0	2.00048844025395	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	4.00195439749781	2.00048844025395	2.00048844025395	1.00012209018435	0	5.00305424361532	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395
9930111J21Rik1	17.0353762377124	3.00109916954915	9.00990220315199	7.00598826885697	0	2.00048844025395	2.00048844025395	10.0122269359159	4.00195439749781	4.00195439749781	5.00305424361532	6.00439882750478	2.00048844025395	0	0	0	4.00195439749781	1.00012209018435	0	1.00012209018435	3.00109916954915	3.00109916954915	1.00012209018435	0	14.0239804397716	3.00109916954915	2.00048844025395	5.00305424361532	0	1.00012209018435	0	6.00439882750478	5.00305424361532	2.00048844025395	0	2.00048844025395	2.00048844025395	8.00782268745052	0	0	2.00048844025395
A430073D23Rik	59.4290518687863	4.00195439749781	21.0540177177831	49.2954494708865	0	1.00012209018435	2.00048844025395	28.0961415204583	13.0206736374495	12.0176125328898	11.0147970057849	15.0275330602518	20.048987655079	6.00439882750478	0	0	10.0122269359159	5.00305424361532	14.0239804397716	8.00782268745052	10.0122269359159	24.0705883708827	2.00048844025395	4.00195439749781	40.1965934523377	11.0147970057849	21.0540177177831	9.00990220315199	7.00598826885697	7.00598826885697	1.00012209018435	14.0239804397716	15.0275330602518	6.00439882750478	0	10.0122269359159	9.00990220315199	41.2065798956254	4.00195439749781	4.00195439749781	24.0705883708827
AI607873	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	2.00048844025395	0	0	3.00109916954915	0	2.00048844025395	0	0	2.00048844025395	0	0	9.00990220315199
AI838599	1.00012209018435	0	5.00305424361532	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	2.00048844025395	0	0	3.00109916954915	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	5.00305424361532	0	0	4.00195439749781
Aamp	1.00012209018435	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	0	6.00439882750478	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	4.00195439749781	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	2.00048844025395	0	4.00195439749781	1.00012209018435	2.00048844025395	2.00048844025395
Abca1	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	3.00109916954915	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	7.00598826885697	0	0	1.00012209018435	3.00109916954915	1.00012209018435
Abca8a	0	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	5.00305424361532	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	8.00782268745052	0	1.00012209018435	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	6.00439882750478	0	0	1.00012209018435	0	7.00598826885697	1.00012209018435
Abcc9	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	3.00109916954915	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	7.00598826885697	3.00109916954915	0	3.00109916954915	6.00439882750478	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	0	3.00109916954915	0	0	0	2.00048844025395	0	0	7.00598826885697
