GENEID	X101	X109	X112	X118	X120	X125	X126	X127	X128	X143	X144	X150	X151	X152	X158	X159	X160	X164	X167	X168	X173	X183	X184	X192
Acta2	3.00109916954915	1.00012209018435	1.00012209018435	12.0176125328898	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	14.0239804397716	2.00048844025395	2.00048844025395	13.0206736374495	0	5.00305424361532	0	1.00012209018435	1.00012209018435	205.047816015536	1.00012209018435	4.00195439749781	7.00598826885697	10.0122269359159	3.00109916954915
Actb	15.0275330602518	1.00012209018435	19.0442041347699	17.0353762377124	49.2954494708865	33.1336529167031	12.0176125328898	22.0592944438992	65.5212691545208	65.5212691545208	14.0239804397716	20.048987655079	94.0720444488503	4.00195439749781	57.4003247346927	23.0648179545339	5.00305424361532	26.0828704059517	202.945686125927	30.1104026871881	86.9156717311133	56.38633784995	45.2490179242113	11.0147970057849
Actg1	6.00439882750478	1.00012209018435	5.00305424361532	2.00048844025395	6.00439882750478	6.00439882750478	1.00012209018435	4.00195439749781	7.00598826885697	14.0239804397716	2.00048844025395	12.0176125328898	18.0396670359275	1.00012209018435	8.00782268745052	5.00305424361532	3.00109916954915	5.00305424361532	21.0540177177831	4.00195439749781	29.1031482864402	0	6.00439882750478	4.00195439749781
Actg2	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	44.2380343327527	0	1.00012209018435	4.00195439749781	1.00012209018435	0
Actn1	5.00305424361532	0	0	2.00048844025395	5.00305424361532	0	2.00048844025395	1.00012209018435	2.00048844025395	6.00439882750478	0	0	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	7.00598826885697	2.00048844025395	4.00195439749781	8.00782268745052	5.00305424361532	0
Actn4	2.00048844025395	0	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	18.0396670359275	4.00195439749781	1.00012209018435	1.00012209018435	3.00109916954915	0	5.00305424361532	0	0	0	27.0893822675098	2.00048844025395	5.00305424361532	1.00012209018435	0	1.00012209018435
Actr2	0	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	0	5.00305424361532	2.00048844025395	0	2.00048844025395	0	0	3.00109916954915	1.00012209018435	0	2.00048844025395	2.00048844025395	1.00012209018435	0
Acvr1	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	6.00439882750478	2.00048844025395	1.00012209018435	4.00195439749781	0	0	0	0	0	2.00048844025395	0	2.00048844025395	2.00048844025395	0	0
Acvr2a	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0
Adam12	0	0	3.00109916954915	0	1.00012209018435	3.00109916954915	2.00048844025395	5.00305424361532	2.00048844025395	6.00439882750478	1.00012209018435	0	9.00990220315199	0	2.00048844025395	0	0	0	1.00012209018435	0	3.00109916954915	3.00109916954915	9.00990220315199	0
