GENEID	X1	X2	X3	X4	X5	X8	X9	X11	X13	X16	X18	X19	X20	X21	X23	X24	X25	X26	X27	X28	X32	X33	X37	X38	X39	X40	X41	X43	X45	X48	X49	X50	X52	X53	X54	X56	X60	X61	X62	X64	X65	X66	X69	X70	X71	X72	X74	X76	X78	X79	X80	X81	X86	X91	X92
Abi3bp	0	0	0	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	14.0239804397716	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0
Ablim1	2.00048844025395	0	1.00012209018435	4.00195439749781	0	0	0	0	0	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	4.00195439749781	0	0	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0
Acap2	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0
Ace	4.00195439749781	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	7.00598826885697	0	0	0	1.00012209018435	1.00012209018435	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0
Acta2	0	2.00048844025395	2.00048844025395	0	0	4.00195439749781	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	17.0353762377124	0	13.0206736374495	0	4.00195439749781	0	7.00598826885697	0	1.00012209018435	9.00990220315199	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	12.0176125328898	0	0	0	0	10.0122269359159	9.00990220315199	0	0	0	2.00048844025395	15.0275330602518	0	23.0648179545339	1.00012209018435
Actb	8.00782268745052	36.1591362501238	23.0648179545339	8.00782268745052	4.00195439749781	19.0442041347699	18.0396670359275	33.1336529167031	0	9.00990220315199	16.0313316193744	11.0147970057849	15.0275330602518	3.00109916954915	9.00990220315199	33.1336529167031	3.00109916954915	8.00782268745052	29.1031482864402	7.00598826885697	7.00598826885697	15.0275330602518	27.0893822675098	27.0893822675098	11.0147970057849	38.1773673823587	12.0176125328898	5.00305424361532	14.0239804397716	1.00012209018435	7.00598826885697	29.1031482864402	1.00012209018435	5.00305424361532	3.00109916954915	22.0592944438992	11.0147970057849	23.0648179545339	43.22730021288	47.2717340146999	19.0442041347699	10.0122269359159	43.22730021288	5.00305424361532	4.00195439749781	18.0396670359275	11.0147970057849	1.00012209018435	1.00012209018435	16.0313316193744	36.1591362501238	26.0828704059517	5.00305424361532	31.1179048445245	19.0442041347699
Actg1	10.0122269359159	9.00990220315199	18.0396670359275	6.00439882750478	1.00012209018435	10.0122269359159	3.00109916954915	5.00305424361532	0	14.0239804397716	0	4.00195439749781	16.0313316193744	4.00195439749781	2.00048844025395	10.0122269359159	6.00439882750478	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	6.00439882750478	10.0122269359159	13.0206736374495	0	12.0176125328898	3.00109916954915	3.00109916954915	1.00012209018435	0	1.00012209018435	4.00195439749781	0	5.00305424361532	2.00048844025395	6.00439882750478	18.0396670359275	26.0828704059517	32.1256548803621	38.1773673823587	3.00109916954915	5.00305424361532	31.1179048445245	0	0	3.00109916954915	1.00012209018435	0	0	12.0176125328898	18.0396670359275	8.00782268745052	2.00048844025395	10.0122269359159	21.0540177177831
Actn1	1.00012209018435	0	1.00012209018435	0	0	9.00990220315199	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	5.00305424361532	2.00048844025395	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0
Actn4	0	0	5.00305424361532	0	1.00012209018435	6.00439882750478	1.00012209018435	0	0	2.00048844025395	0	3.00109916954915	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	5.00305424361532	1.00012209018435	0	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	3.00109916954915	0	2.00048844025395	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	0	0	0	7.00598826885697	1.00012209018435	0	1.00012209018435	0	6.00439882750478	3.00109916954915	1.00012209018435	2.00048844025395	6.00439882750478
Adam12	0	0	0	0	0	3.00109916954915	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	6.00439882750478	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0
Adamts1	0	0	3.00109916954915	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	18.0396670359275	0	21.0540177177831	5.00305424361532	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	4.00195439749781	27.0893822675098	2.00048844025395	20.048987655079	5.00305424361532	8.00782268745052	3.00109916954915	0	8.00782268745052	0	0	0	1.00012209018435	9.00990220315199	8.00782268745052	2.00048844025395	7.00598826885697	3.00109916954915
