GENEID	X1	X4	X6	X7	X8	X10	X13	X14	X15	X19	X22	X23	X24	X25	X29	X30	X31	X32	X34	X40	X43	X45	X47	X48	X49	X50	X51	X53	X55	X56	X57	X58	X59	X61	X62	X63	X64	X65	X67	X68	X69	X70	X71	X73	X74	X75	X76	X77	X79	X83	X85	X87	X88	X89	X90	X91	X95	X96
Acta2	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	0	0	8.00782268745052	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	6.00439882750478	2.00048844025395	0	0	1.00012209018435	0	0
Actg1	1.00012209018435	0	3.00109916954915	11.0147970057849	10.0122269359159	8.00782268745052	4.00195439749781	10.0122269359159	0	2.00048844025395	1.00012209018435	2.00048844025395	7.00598826885697	3.00109916954915	3.00109916954915	2.00048844025395	0	7.00598826885697	0	0	1.00012209018435	10.0122269359159	24.0705883708827	9.00990220315199	2.00048844025395	1.00012209018435	9.00990220315199	3.00109916954915	2.00048844025395	2.00048844025395	10.0122269359159	7.00598826885697	0	13.0206736374495	3.00109916954915	2.00048844025395	0	29.1031482864402	11.0147970057849	6.00439882750478	0	5.00305424361532	6.00439882750478	2.00048844025395	3.00109916954915	27.0893822675098	18.0396670359275	3.00109916954915	2.00048844025395	11.0147970057849	101.240942390885	3.00109916954915	3.00109916954915	1.00012209018435	13.0206736374495	4.00195439749781	1.00012209018435	5.00305424361532
Actn1	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	1.00012209018435	5.00305424361532	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	15.0275330602518	1.00012209018435	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435
Actn4	0	0	2.00048844025395	2.00048844025395	7.00598826885697	0	0	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	4.00195439749781	0	2.00048844025395	1.00012209018435	0	0	0	6.00439882750478	0	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	4.00195439749781	0	1.00012209018435	4.00195439749781	5.00305424361532	1.00012209018435	4.00195439749781	5.00305424361532	2.00048844025395	0	0	4.00195439749781	5.00305424361532	4.00195439749781	0	0	1.00012209018435	1.00012209018435	0	0
Actr3	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	9.00990220315199	1.00012209018435	0	1.00012209018435	0	0	0	0
Adam8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0147970057849	0	0	0	0	0	0	0
Adam9	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	6.00439882750478	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Adamts1	0	0	6.00439882750478	1.00012209018435	0	0	1.00012209018435	0	0	3.00109916954915	2.00048844025395	0	2.00048844025395	0	24.0705883708827	5.00305424361532	5.00305424361532	1.00012209018435	0	0	0	1.00012209018435	9.00990220315199	3.00109916954915	1.00012209018435	11.0147970057849	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	10.0122269359159	0	0	1.00012209018435	4.00195439749781	3.00109916954915	4.00195439749781	10.0122269359159	0	0	2.00048844025395	7.00598826885697	5.00305424361532	8.00782268745052	1.00012209018435	12.0176125328898	0	18.0396670359275	0	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395
Adamts4	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0147970057849	0	0	4.00195439749781	1.00012209018435	12.0176125328898	0	0	25.0766058142306	0	23.0648179545339	0	0	8.00782268745052	0	1.00012209018435	0
Adamts5	0	0	0	2.00048844025395	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
