GENEID	X104	X112	X118	X122	X128	X137	X168	X175	X189	X191
Ankrd12	0	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	0	0	0
Ano1	0	3.00109916954915	2.00048844025395	0	5.00305424361532	2.00048844025395	1.00012209018435	0	0	1.00012209018435
Antxr1	7.00598826885697	9.00990220315199	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	3.00109916954915	0
Anxa1	2.00048844025395	0	5.00305424361532	0	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435
Anxa5	0	3.00109916954915	6.00439882750478	0	0	0	2.00048844025395	0	4.00195439749781	0
Aoc3	4.00195439749781	10.0122269359159	7.00598826885697	1.00012209018435	2.00048844025395	7.00598826885697	3.00109916954915	0	5.00305424361532	0
Ap2m1	3.00109916954915	2.00048844025395	11.0147970057849	0	5.00305424361532	1.00012209018435	5.00305424361532	0	1.00012209018435	1.00012209018435
Apbb2	1.00012209018435	1.00012209018435	0	0	5.00305424361532	5.00305424361532	2.00048844025395	0	0	0
Apip	0	0	5.00305424361532	0	0	0	0	0	0	0
Apobec1	1.00012209018435	0	7.00598826885697	0	0	2.00048844025395	0	0	0	0
Apoe	66.5375202452072	40.1965934523377	77.7329552185041	8.00782268745052	74.6766188001131	66.5375202452072	189.308075883846	6.00439882750478	15.0275330602518	28.0961415204583
App	6.00439882750478	7.00598826885697	32.1256548803621	1.00012209018435	7.00598826885697	16.0313316193744	13.0206736374495	0	6.00439882750478	5.00305424361532
Aqp1	13.0206736374495	0	0	0	0	0	1.00012209018435	0	0	0
Arcn1	5.00305424361532	3.00109916954915	8.00782268745052	2.00048844025395	1.00012209018435	1.00012209018435	5.00305424361532	0	2.00048844025395	1.00012209018435
Arf1	0	0	5.00305424361532	2.00048844025395	2.00048844025395	2.00048844025395	4.00195439749781	0	2.00048844025395	2.00048844025395
