GENEID	X97	X98	X100	X102	X103	X104	X105	X106	X107	X109	X110	X111	X112	X113	X115	X117	X118	X119	X120	X121	X122	X123	X124	X126	X128	X129	X132	X134	X135	X136	X137	X138	X143	X144	X145	X146	X147	X149	X151	X152	X153	X154	X156	X157	X158	X159	X160	X163	X165	X166	X167	X168	X169	X170	X173	X174	X175	X176	X177	X179	X181	X182	X184	X186	X187	X188	X190	X191	X192
9930111J21Rik1	1.00012209018435	6.00439882750478	3.00109916954915	4.00195439749781	0	8.00782268745052	0	8.00782268745052	1.00012209018435	3.00109916954915	4.00195439749781	5.00305424361532	3.00109916954915	6.00439882750478	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	9.00990220315199	4.00195439749781	6.00439882750478	1.00012209018435	2.00048844025395	1.00012209018435	4.00195439749781	0	3.00109916954915	3.00109916954915	0	4.00195439749781	1.00012209018435	4.00195439749781	12.0176125328898	0	6.00439882750478	1.00012209018435	0	8.00782268745052	2.00048844025395	5.00305424361532	4.00195439749781	14.0239804397716	0	1.00012209018435	0	1.00012209018435	4.00195439749781	0	11.0147970057849	5.00305424361532	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	0	9.00990220315199	7.00598826885697	4.00195439749781	0	3.00109916954915	10.0122269359159
A230046K03Rik	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435
A430073D23Rik	6.00439882750478	23.0648179545339	5.00305424361532	16.0313316193744	1.00012209018435	23.0648179545339	7.00598826885697	30.1104026871881	4.00195439749781	7.00598826885697	17.0353762377124	17.0353762377124	9.00990220315199	10.0122269359159	10.0122269359159	2.00048844025395	6.00439882750478	17.0353762377124	8.00782268745052	5.00305424361532	12.0176125328898	1.00012209018435	13.0206736374495	8.00782268745052	4.00195439749781	18.0396670359275	11.0147970057849	28.0961415204583	6.00439882750478	3.00109916954915	6.00439882750478	18.0396670359275	4.00195439749781	13.0206736374495	3.00109916954915	3.00109916954915	6.00439882750478	6.00439882750478	15.0275330602518	36.1591362501238	1.00012209018435	17.0353762377124	4.00195439749781	2.00048844025395	14.0239804397716	4.00195439749781	12.0176125328898	10.0122269359159	48.283466760365	12.0176125328898	3.00109916954915	4.00195439749781	2.00048844025395	4.00195439749781	0	60.4437923669776	18.0396670359275	15.0275330602518	6.00439882750478	0	5.00305424361532	6.00439882750478	1.00012209018435	35.1503934793561	31.1179048445245	27.0893822675098	4.00195439749781	8.00782268745052	21.0540177177831
A830008E24Rik	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	5.00305424361532	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0
AI314180	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	4.00195439749781	2.00048844025395	0	0	2.00048844025395	2.00048844025395	7.00598826885697	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0
AI607873	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	11.0147970057849	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435
AI838599	0	5.00305424361532	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	4.00195439749781	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	2.00048844025395
Aamp	0	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	1.00012209018435	2.00048844025395	4.00195439749781	0	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	2.00048844025395	4.00195439749781	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0
Abca8a	0	0	0	1.00012209018435	4.00195439749781	2.00048844025395	0	0	0	3.00109916954915	7.00598826885697	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	4.00195439749781	0	0	0	5.00305424361532	2.00048844025395	0	1.00012209018435	1.00012209018435	0	7.00598826885697	0	0	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	0	4.00195439749781	2.00048844025395	0	1.00012209018435	0	0	8.00782268745052	1.00012209018435
Abcc9	0	0	0	5.00305424361532	0	0	0	0	0	0	5.00305424361532	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	4.00195439749781	3.00109916954915	1.00012209018435	3.00109916954915	0	5.00305424361532	5.00305424361532	0	4.00195439749781	0	2.00048844025395	5.00305424361532	4.00195439749781	0	2.00048844025395	3.00109916954915	3.00109916954915	2.00048844025395	0	0	2.00048844025395	3.00109916954915	0	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	7.00598826885697	1.00012209018435	0	8.00782268745052	0	0	2.00048844025395	0	5.00305424361532	3.00109916954915	3.00109916954915	1.00012209018435	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0	1.00012209018435	3.00109916954915	0
Abcf1	0	3.00109916954915	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	6.00439882750478	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0
Abhd4	0	0	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	5.00305424361532	3.00109916954915
