GENEID	X1	X2	X3	X5	X6	X7	X8	X10	X13	X15	X16	X17	X18	X19	X21	X22	X23	X24	X27	X28	X29	X30	X31	X32	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X52	X53	X54	X55	X56	X60	X61	X62	X63	X64	X67	X69	X70	X71	X72	X73	X74	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96
Acta2	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	20.048987655079	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	1.00012209018435	52.332898627509	1.00012209018435	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	4.00195439749781	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	8.00782268745052	0	0	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	11.0147970057849	1.00012209018435	5.00305424361532	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	3.00109916954915	0	0	12.0176125328898	4.00195439749781	0
Actb	1.00012209018435	12.0176125328898	10.0122269359159	11.0147970057849	7.00598826885697	19.0442041347699	35.1503934793561	9.00990220315199	11.0147970057849	17.0353762377124	5.00305424361532	5.00305424361532	19.0442041347699	9.00990220315199	3.00109916954915	14.0239804397716	53.3458824338344	34.1418990756402	44.2380343327527	10.0122269359159	7.00598826885697	5.00305424361532	9.00990220315199	19.0442041347699	10.0122269359159	12.0176125328898	27.0893822675098	13.0206736374495	25.0766058142306	7.00598826885697	6.00439882750478	5.00305424361532	3.00109916954915	7.00598826885697	2.00048844025395	8.00782268745052	20.048987655079	11.0147970057849	30.1104026871881	36.1591362501238	3.00109916954915	23.0648179545339	2.00048844025395	18.0396670359275	12.0176125328898	0	9.00990220315199	6.00439882750478	23.0648179545339	8.00782268745052	6.00439882750478	6.00439882750478	34.1418990756402	12.0176125328898	8.00782268745052	6.00439882750478	8.00782268745052	12.0176125328898	8.00782268745052	4.00195439749781	13.0206736374495	2.00048844025395	15.0275330602518	17.0353762377124	26.0828704059517	7.00598826885697	3.00109916954915	3.00109916954915	4.00195439749781	6.00439882750478	7.00598826885697	18.0396670359275	6.00439882750478	8.00782268745052	9.00990220315199	1.00012209018435	41.2065798956254	32.1256548803621	12.0176125328898
Actg1	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	4.00195439749781	6.00439882750478	2.00048844025395	2.00048844025395	2.00048844025395	3.00109916954915	0	7.00598826885697	1.00012209018435	0	0	16.0313316193744	11.0147970057849	12.0176125328898	0	0	0	2.00048844025395	7.00598826885697	3.00109916954915	0	1.00012209018435	4.00195439749781	9.00990220315199	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	2.00048844025395	0	9.00990220315199	5.00305424361532	0	7.00598826885697	1.00012209018435	3.00109916954915	2.00048844025395	0	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	4.00195439749781	13.0206736374495	6.00439882750478	1.00012209018435	1.00012209018435	3.00109916954915	4.00195439749781	0	0	0	3.00109916954915	0	3.00109916954915	7.00598826885697	2.00048844025395	0	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	3.00109916954915	0	0	9.00990220315199	3.00109916954915	1.00012209018435
Actn1	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	3.00109916954915	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	8.00782268745052	1.00012209018435	0	0	2.00048844025395	7.00598826885697	0	1.00012209018435	5.00305424361532	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	3.00109916954915	0	0	2.00048844025395	0	3.00109916954915	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	4.00195439749781	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0
Actn4	0	0	0	3.00109916954915	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	7.00598826885697	3.00109916954915	4.00195439749781	0	0	0	5.00305424361532	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	2.00048844025395	3.00109916954915	0	3.00109916954915	1.00012209018435	1.00012209018435	4.00195439749781	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	3.00109916954915	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	7.00598826885697	2.00048844025395	1.00012209018435	1.00012209018435	0	0	2.00048844025395	3.00109916954915	0
Adamts1	0	0	2.00048844025395	4.00195439749781	0	1.00012209018435	0	1.00012209018435	6.00439882750478	1.00012209018435	7.00598826885697	1.00012209018435	0	2.00048844025395	10.0122269359159	0	2.00048844025395	0	15.0275330602518	0	0	0	3.00109916954915	0	2.00048844025395	2.00048844025395	2.00048844025395	4.00195439749781	0	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	3.00109916954915	0	9.00990220315199	0	0	0	3.00109916954915	2.00048844025395	0	0	2.00048844025395	0	2.00048844025395	3.00109916954915	0	0	0	0	8.00782268745052	3.00109916954915	1.00012209018435	0	0	1.00012209018435	3.00109916954915	2.00048844025395	3.00109916954915	1.00012209018435	1.00012209018435	0	6.00439882750478
Adamts2	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	0	0	5.00305424361532	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	4.00195439749781	0	0	0	3.00109916954915	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	5.00305424361532	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0
Adamts4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	6.00439882750478	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0313316193744	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0
Adgrf5	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0
Adh1	0	3.00109916954915	0	1.00012209018435	0	8.00782268745052	2.00048844025395	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	2.00048844025395	0	2.00048844025395	0	1.00012209018435	5.00305424361532	0	3.00109916954915	0	0	2.00048844025395	4.00195439749781	1.00012209018435	0	0	0	0	1.00012209018435	5.00305424361532	0	1.00012209018435	0	13.0206736374495	0	6.00439882750478	0	0	2.00048844025395	2.00048844025395	0	7.00598826885697	1.00012209018435	0	0	0	7.00598826885697	1.00012209018435	0	0	3.00109916954915	2.00048844025395	0	6.00439882750478	1.00012209018435	2.00048844025395	4.00195439749781	0	0	0
Adm	0	2.00048844025395	0	0	0	0	0	2.00048844025395	12.0176125328898	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	5.00305424361532	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	1.00012209018435	4.00195439749781	0	0	0	8.00782268745052	0	1.00012209018435	0	3.00109916954915
Adra2a	0	0	1.00012209018435	0	6.00439882750478	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	4.00195439749781	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	4.00195439749781	0	0	0	0	3.00109916954915	0	0	0	0	5.00305424361532	0	1.00012209018435	0	5.00305424361532	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	2.00048844025395	5.00305424361532	0	0	0	0	3.00109916954915	0	0
Agtr2	0	4.00195439749781	3.00109916954915	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	11.0147970057849	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0	6.00439882750478	0	4.00195439749781	2.00048844025395	9.00990220315199	0	0	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	0	0	0	0	3.00109916954915	0	0	13.0206736374495
Ahnak	0	3.00109916954915	0	3.00109916954915	2.00048844025395	10.0122269359159	1.00012209018435	2.00048844025395	0	1.00012209018435	4.00195439749781	0	0	0	1.00012209018435	3.00109916954915	6.00439882750478	0	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	6.00439882750478	4.00195439749781	2.00048844025395	0	2.00048844025395	0	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	0	0	1.00012209018435	2.00048844025395	3.00109916954915	0	1.00012209018435	0	3.00109916954915	5.00305424361532	2.00048844025395	2.00048844025395	0	0	2.00048844025395	6.00439882750478	0	1.00012209018435	0	5.00305424361532	3.00109916954915	4.00195439749781	0	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	10.0122269359159	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	0	4.00195439749781	0	4.00195439749781	3.00109916954915	1.00012209018435	0
Ak2	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	4.00195439749781	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0
Akap13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	6.00439882750478	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap2	0	0	0	0	0	6.00439882750478	1.00012209018435	0	0	2.00048844025395	0	0	0	0	5.00305424361532	0	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	2.00048844025395	2.00048844025395	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	2.00048844025395	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	6.00439882750478	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	4.00195439749781	0	0	0	3.00109916954915	0	2.00048844025395	0	0	2.00048844025395	0	4.00195439749781	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435
