GENEID	X3	X5	X9	X12	X14	X15	X16	X18	X19	X20	X24	X25	X26	X28	X29	X30	X32	X33	X37	X38	X39	X40	X42	X43	X44	X45	X46	X48	X49	X50	X53	X54	X55	X57	X60	X61	X62	X63	X64	X65	X68	X69	X70	X71	X72	X76	X77	X78	X79	X80	X81	X83	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96
7330423F06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0
9330136K24Rik	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0
9930111J21Rik1	0	5.00305424361532	13.0206736374495	5.00305424361532	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	5.00305424361532	8.00782268745052	4.00195439749781	2.00048844025395	2.00048844025395	2.00048844025395	0	3.00109916954915	1.00012209018435	7.00598826885697	1.00012209018435	0	9.00990220315199	3.00109916954915	0	7.00598826885697	0	11.0147970057849	2.00048844025395	8.00782268745052	1.00012209018435	7.00598826885697	0	1.00012209018435	11.0147970057849	2.00048844025395	0	4.00195439749781	0	0	0	7.00598826885697	1.00012209018435	7.00598826885697	3.00109916954915	2.00048844025395	0	0	8.00782268745052	0	3.00109916954915	3.00109916954915	4.00195439749781	0	2.00048844025395	1.00012209018435	6.00439882750478	7.00598826885697	0	4.00195439749781	0	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435
A130071D04Rik	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0
A430073D23Rik	4.00195439749781	15.0275330602518	34.1418990756402	2.00048844025395	10.0122269359159	6.00439882750478	3.00109916954915	6.00439882750478	11.0147970057849	24.0705883708827	8.00782268745052	8.00782268745052	13.0206736374495	12.0176125328898	4.00195439749781	8.00782268745052	4.00195439749781	17.0353762377124	2.00048844025395	2.00048844025395	17.0353762377124	8.00782268745052	4.00195439749781	25.0766058142306	2.00048844025395	43.22730021288	6.00439882750478	21.0540177177831	1.00012209018435	24.0705883708827	7.00598826885697	8.00782268745052	39.186855988824	7.00598826885697	18.0396670359275	17.0353762377124	4.00195439749781	3.00109916954915	1.00012209018435	26.0828704059517	0	12.0176125328898	13.0206736374495	3.00109916954915	4.00195439749781	6.00439882750478	13.0206736374495	1.00012209018435	11.0147970057849	16.0313316193744	11.0147970057849	5.00305424361532	13.0206736374495	4.00195439749781	19.0442041347699	10.0122269359159	2.00048844025395	22.0592944438992	5.00305424361532	2.00048844025395	11.0147970057849	1.00012209018435	0
AI506816	0	2.00048844025395	1.00012209018435	0	0	0	5.00305424361532	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	0	0	3.00109916954915	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	3.00109916954915	1.00012209018435	1.00012209018435	0
AI607873	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	11.0147970057849	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0
Abcc9	1.00012209018435	3.00109916954915	0	0	3.00109916954915	1.00012209018435	5.00305424361532	0	4.00195439749781	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	3.00109916954915	6.00439882750478	5.00305424361532	5.00305424361532	1.00012209018435	0	14.0239804397716	1.00012209018435	0	1.00012209018435	0	7.00598826885697	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0	1.00012209018435	3.00109916954915	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0
Abce1	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	3.00109916954915	1.00012209018435	4.00195439749781	1.00012209018435	0	2.00048844025395	2.00048844025395	4.00195439749781	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	1.00012209018435	2.00048844025395	4.00195439749781	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	2.00048844025395	0	1.00012209018435	0
Abcg2	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	4.00195439749781	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0
Abhd4	0	3.00109916954915	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	2.00048844025395	0	3.00109916954915	0	2.00048844025395	1.00012209018435	5.00305424361532	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	6.00439882750478	0	0	0	0	0	0	0	1.00012209018435	0	0	0
Ablim1	0	0	0	0	5.00305424361532	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	4.00195439749781	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0
