GENEID	X99	X101	X103	X104	X105	X107	X108	X109	X111	X113	X115	X116	X117	X118	X119	X120	X122	X124	X125	X126	X127	X129	X131	X132	X133	X134	X135	X136	X137	X139	X141	X142	X143	X144	X146	X147	X148	X149	X150	X151	X152	X153	X154	X157	X158	X159	X160	X161	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X180	X181	X182	X183	X184	X185	X186	X188	X189	X191
Abcb10	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0
Abcc9	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	10.0122269359159	2.00048844025395	0	1.00012209018435	2.00048844025395	8.00782268745052	11.0147970057849	0	5.00305424361532	9.00990220315199	0	0	3.00109916954915	0	7.00598826885697	0	0	3.00109916954915	2.00048844025395	1.00012209018435	2.00048844025395	2.00048844025395	0	7.00598826885697	1.00012209018435	4.00195439749781	0	0	2.00048844025395	0	2.00048844025395	4.00195439749781	3.00109916954915	0	0	1.00012209018435	0	0	7.00598826885697	3.00109916954915	1.00012209018435	0	0	3.00109916954915	0	0	0	0	5.00305424361532	5.00305424361532	1.00012209018435	3.00109916954915	2.00048844025395	5.00305424361532	0	2.00048844025395	0	1.00012209018435	2.00048844025395	3.00109916954915	2.00048844025395	0	1.00012209018435
Abhd17b	0	0	0	0	1.00012209018435	0	0	4.00195439749781	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	5.00305424361532	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435
Ablim1	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	0
Acta2	1.00012209018435	6.00439882750478	1.00012209018435	1.00012209018435	0	2.00048844025395	4.00195439749781	0	0	0	0	2.00048844025395	0	0	9.00990220315199	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	3.00109916954915	0	0	0	10.0122269359159	3.00109916954915	0	6.00439882750478	8.00782268745052	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	3.00109916954915	5.00305424361532	3.00109916954915	0	0	0	0	2.00048844025395	1.00012209018435	0	11.0147970057849	0
Actb	16.0313316193744	11.0147970057849	0	22.0592944438992	35.1503934793561	13.0206736374495	42.2168154415037	65.5212691545208	17.0353762377124	11.0147970057849	0	40.1965934523377	1.00012209018435	13.0206736374495	33.1336529167031	14.0239804397716	7.00598826885697	16.0313316193744	37.1681275103067	29.1031482864402	22.0592944438992	15.0275330602518	22.0592944438992	21.0540177177831	11.0147970057849	21.0540177177831	38.1773673823587	8.00782268745052	13.0206736374495	34.1418990756402	35.1503934793561	3.00109916954915	36.1591362501238	47.2717340146999	4.00195439749781	7.00598826885697	2.00048844025395	24.0705883708827	21.0540177177831	7.00598826885697	10.0122269359159	20.048987655079	30.1104026871881	22.0592944438992	9.00990220315199	22.0592944438992	16.0313316193744	1.00012209018435	5.00305424361532	3.00109916954915	0	14.0239804397716	5.00305424361532	81.8116212264209	2.00048844025395	1.00012209018435	0	13.0206736374495	29.1031482864402	3.00109916954915	19.0442041347699	17.0353762377124	24.0705883708827	1.00012209018435	16.0313316193744	16.0313316193744	9.00990220315199	6.00439882750478	7.00598826885697	10.0122269359159	26.0828704059517	27.0893822675098
Actg1	3.00109916954915	2.00048844025395	0	5.00305424361532	5.00305424361532	9.00990220315199	16.0313316193744	20.048987655079	7.00598826885697	2.00048844025395	0	6.00439882750478	0	1.00012209018435	7.00598826885697	1.00012209018435	0	2.00048844025395	6.00439882750478	3.00109916954915	17.0353762377124	3.00109916954915	7.00598826885697	7.00598826885697	3.00109916954915	6.00439882750478	6.00439882750478	0	3.00109916954915	4.00195439749781	10.0122269359159	0	6.00439882750478	10.0122269359159	0	0	0	3.00109916954915	15.0275330602518	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532	4.00195439749781	4.00195439749781	3.00109916954915	3.00109916954915	4.00195439749781	4.00195439749781	0	0	5.00305424361532	1.00012209018435	30.1104026871881	0	0	0	13.0206736374495	2.00048844025395	1.00012209018435	2.00048844025395	9.00990220315199	4.00195439749781	0	12.0176125328898	2.00048844025395	5.00305424361532	5.00305424361532	4.00195439749781	4.00195439749781	19.0442041347699	13.0206736374495
Actn4	4.00195439749781	0	0	0	0	1.00012209018435	2.00048844025395	6.00439882750478	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	4.00195439749781	2.00048844025395	2.00048844025395	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	3.00109916954915	0	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395
Actr3	0	0	0	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	3.00109916954915	3.00109916954915	0	1.00012209018435	2.00048844025395	0	0	4.00195439749781	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	2.00048844025395	0	4.00195439749781	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	4.00195439749781	0	2.00048844025395	0	5.00305424361532	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	4.00195439749781
Adam12	1.00012209018435	0	0	9.00990220315199	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	4.00195439749781	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0
