GENEID	X1	X3	X4	X5	X6	X7	X8	X10	X11	X13	X15	X16	X17	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X35	X36	X37	X38	X39	X40	X41	X43	X44	X45	X46	X47	X48	X50	X51	X52	X53	X54	X55	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X88	X90	X92	X93	X95
Abcc9	5.00305424361532	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	5.00305424361532	1.00012209018435	2.00048844025395	0	0	0	3.00109916954915	3.00109916954915	4.00195439749781	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	3.00109916954915	0	0	0	4.00195439749781	0	0	3.00109916954915	5.00305424361532	2.00048844025395	0	0	0	0	0	5.00305424361532	7.00598826885697	2.00048844025395	1.00012209018435	0	2.00048844025395	4.00195439749781	2.00048844025395	0	2.00048844025395	0	4.00195439749781	3.00109916954915	0	5.00305424361532	1.00012209018435	0	0	0	3.00109916954915	0	1.00012209018435	0	0	4.00195439749781	3.00109916954915	0	0	0
Abcg2	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	0	2.00048844025395	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	9.00990220315199
Abhd17b	0	5.00305424361532	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	4.00195439749781	2.00048844025395	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0
Acp1	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0
Acta2	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	4.00195439749781	0	5.00305424361532	0	0	0	0	0	0	0	0	14.0239804397716	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	3.00109916954915	0	0	1.00012209018435	10.0122269359159	1.00012209018435	0	0	17.0353762377124	0	0	15.0275330602518	0	0	0	0	0	0	20.048987655079	4.00195439749781	50.3076822698104	0	0
Actb	9.00990220315199	22.0592944438992	5.00305424361532	13.0206736374495	17.0353762377124	10.0122269359159	37.1681275103067	2.00048844025395	23.0648179545339	32.1256548803621	21.0540177177831	2.00048844025395	7.00598826885697	57.4003247346927	7.00598826885697	17.0353762377124	14.0239804397716	11.0147970057849	0	33.1336529167031	22.0592944438992	18.0396670359275	22.0592944438992	11.0147970057849	5.00305424361532	4.00195439749781	21.0540177177831	7.00598826885697	72.6403274332921	14.0239804397716	2.00048844025395	54.3591168236642	9.00990220315199	0	17.0353762377124	26.0828704059517	8.00782268745052	40.1965934523377	2.00048844025395	18.0396670359275	28.0961415204583	15.0275330602518	36.1591362501238	13.0206736374495	23.0648179545339	14.0239804397716	3.00109916954915	9.00990220315199	1.00012209018435	0	35.1503934793561	18.0396670359275	8.00782268745052	27.0893822675098	51.3201652807748	88.9590741182177	48.283466760365	39.186855988824	3.00109916954915	37.1681275103067	29.1031482864402	69.5877872348756	10.0122269359159	7.00598826885697	37.1681275103067	76.7139229953105	3.00109916954915	20.048987655079	38.1773673823587	2.00048844025395	24.0705883708827	5.00305424361532	48.283466760365	30.1104026871881	13.0206736374495	36.1591362501238	32.1256548803621	47.2717340146999	5.00305424361532	15.0275330602518
Actg1	0	6.00439882750478	1.00012209018435	4.00195439749781	0	5.00305424361532	13.0206736374495	0	1.00012209018435	8.00782268745052	8.00782268745052	0	1.00012209018435	8.00782268745052	4.00195439749781	5.00305424361532	5.00305424361532	4.00195439749781	1.00012209018435	5.00305424361532	2.00048844025395	5.00305424361532	3.00109916954915	4.00195439749781	4.00195439749781	0	1.00012209018435	2.00048844025395	19.0442041347699	0	0	11.0147970057849	0	0	2.00048844025395	12.0176125328898	2.00048844025395	22.0592944438992	1.00012209018435	6.00439882750478	5.00305424361532	0	0	2.00048844025395	2.00048844025395	6.00439882750478	0	0	1.00012209018435	0	7.00598826885697	5.00305424361532	0	12.0176125328898	14.0239804397716	15.0275330602518	10.0122269359159	1.00012209018435	2.00048844025395	36.1591362501238	13.0206736374495	8.00782268745052	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	2.00048844025395	13.0206736374495	3.00109916954915	4.00195439749781	1.00012209018435	7.00598826885697	1.00012209018435	5.00305424361532	1.00012209018435	8.00782268745052	18.0396670359275	1.00012209018435	0
Actn1	2.00048844025395	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	2.00048844025395	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	2.00048844025395	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	3.00109916954915	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435	5.00305424361532	0	0
Actn4	0	6.00439882750478	1.00012209018435	0	1.00012209018435	1.00012209018435	9.00990220315199	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	1.00012209018435	6.00439882750478	0	0	2.00048844025395	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	4.00195439749781	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	4.00195439749781	2.00048844025395	4.00195439749781	0	1.00012209018435	0	1.00012209018435	3.00109916954915	7.00598826885697	0	4.00195439749781	1.00012209018435	1.00012209018435	0	0	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0
Adam10	0	2.00048844025395	0	0	4.00195439749781	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	6.00439882750478	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	5.00305424361532
