GENEID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X12	X13	X14	X15	X16	X20	X22	X23	X24	X25	X27	X28	X32	X33	X34	X35	X36	X37	X39	X41	X43	X44	X45	X46	X48	X49	X51	X52	X53	X54	X55	X56	X57	X59	X60	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X78	X79	X80	X81	X83	X84	X85	X86	X90	X91	X92	X93	X94	X96
Abcc9	1.00012209018435	13.0206736374495	2.00048844025395	0	0	3.00109916954915	0	7.00598826885697	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	4.00195439749781	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	7.00598826885697	2.00048844025395	7.00598826885697	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	10.0122269359159	9.00990220315199	6.00439882750478	0	3.00109916954915	0	1.00012209018435	0	9.00990220315199	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	4.00195439749781	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435
Abcg2	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd17b	0	1.00012209018435	0	0	3.00109916954915	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	8.00782268745052	0	0	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435
Abi3bp	1.00012209018435	0	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435
Ablim1	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	3.00109916954915	5.00305424361532	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435
Ackr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	8.00782268745052	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta2	0	31.1179048445245	6.00439882750478	0	0	10.0122269359159	0	0	0	0	0	1.00012209018435	3.00109916954915	0	2.00048844025395	0	4.00195439749781	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	10.0122269359159	1.00012209018435	1.00012209018435	4.00195439749781	31.1179048445245	0	4.00195439749781	4.00195439749781	0	0	0	0	1.00012209018435	1.00012209018435	0	13.0206736374495	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0
Actb	18.0396670359275	68.5707791601287	37.1681275103067	12.0176125328898	99.1914051952572	48.283466760365	0	14.0239804397716	1.00012209018435	13.0206736374495	23.0648179545339	22.0592944438992	12.0176125328898	7.00598826885697	22.0592944438992	3.00109916954915	40.1965934523377	38.1773673823587	41.2065798956254	3.00109916954915	7.00598826885697	16.0313316193744	15.0275330602518	0	30.1104026871881	47.2717340146999	21.0540177177831	15.0275330602518	26.0828704059517	11.0147970057849	19.0442041347699	25.0766058142306	2.00048844025395	28.0961415204583	9.00990220315199	4.00195439749781	19.0442041347699	20.048987655079	59.4290518687863	31.1179048445245	17.0353762377124	21.0540177177831	59.4290518687863	113.559748668846	0	21.0540177177831	38.1773673823587	2.00048844025395	8.00782268745052	0	4.00195439749781	34.1418990756402	16.0313316193744	21.0540177177831	52.332898627509	32.1256548803621	5.00305424361532	9.00990220315199	5.00305424361532	19.0442041347699	28.0961415204583	8.00782268745052	3.00109916954915	24.0705883708827	0	1.00012209018435	46.2602511104364	1.00012209018435	0	23.0648179545339	4.00195439749781	22.0592944438992	21.0540177177831	4.00195439749781
Actg1	1.00012209018435	11.0147970057849	5.00305424361532	0	34.1418990756402	6.00439882750478	0	4.00195439749781	0	5.00305424361532	7.00598826885697	4.00195439749781	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	7.00598826885697	0	6.00439882750478	0	1.00012209018435	3.00109916954915	6.00439882750478	0	4.00195439749781	12.0176125328898	1.00012209018435	5.00305424361532	2.00048844025395	1.00012209018435	5.00305424361532	4.00195439749781	0	0	1.00012209018435	1.00012209018435	4.00195439749781	3.00109916954915	12.0176125328898	8.00782268745052	2.00048844025395	4.00195439749781	9.00990220315199	2.00048844025395	0	3.00109916954915	17.0353762377124	1.00012209018435	1.00012209018435	0	0	6.00439882750478	9.00990220315199	6.00439882750478	6.00439882750478	7.00598826885697	1.00012209018435	1.00012209018435	0	1.00012209018435	4.00195439749781	0	1.00012209018435	5.00305424361532	0	0	28.0961415204583	0	0	6.00439882750478	2.00048844025395	8.00782268745052	1.00012209018435	0
Actn1	3.00109916954915	1.00012209018435	1.00012209018435	0	2.00048844025395	2.00048844025395	0	3.00109916954915	0	2.00048844025395	0	1.00012209018435	4.00195439749781	0	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	3.00109916954915	0	0	5.00305424361532	11.0147970057849	0	2.00048844025395	7.00598826885697	1.00012209018435	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0
