GENEID	X106	X112	X113	X115	X117	X122	X123	X126	X129	X130	X131	X134	X135	X138	X140	X141	X142	X143	X148	X150	X152	X154	X156	X161	X163	X165	X167	X169	X170	X172	X179	X181	X185	X186	X187	X189
Adcy4	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcy5	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0
Adgrf5	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0
Adh1	2.00048844025395	0	2.00048844025395	3.00109916954915	1.00012209018435	4.00195439749781	4.00195439749781	0	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	0	6.00439882750478	1.00012209018435	0	0	0	0	2.00048844025395	0	0	4.00195439749781
Aebp1	0	0	1.00012209018435	0	6.00439882750478	4.00195439749781	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	0
Agtr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	13.0206736374495	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahnak	0	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	5.00305424361532	0	1.00012209018435	2.00048844025395	4.00195439749781	6.00439882750478	0	2.00048844025395	4.00195439749781	2.00048844025395	2.00048844025395	2.00048844025395	2.00048844025395	0	0	0	11.0147970057849	2.00048844025395	7.00598826885697	2.00048844025395	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	0	2.00048844025395	4.00195439749781	2.00048844025395	3.00109916954915
Ahr	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	4.00195439749781	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	3.00109916954915	0
Akap2	0	0	4.00195439749781	11.0147970057849	0	0	0	1.00012209018435	3.00109916954915	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	3.00109916954915	0	2.00048844025395	10.0122269359159	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	5.00305424361532	0	0	0	1.00012209018435	0	3.00109916954915	0
Akr1a1	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	3.00109916954915	8.00782268745052	0	0	1.00012209018435	0	3.00109916954915	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0
Anapc5	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	2.00048844025395	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0
Angptl4	0	0	0	1.00012209018435	3.00109916954915	0	1.00012209018435	2.00048844025395	6.00439882750478	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	4.00195439749781	2.00048844025395	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915
Ankrd17	0	0	0	8.00782268745052	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435
Ano1	0	6.00439882750478	2.00048844025395	2.00048844025395	1.00012209018435	0	4.00195439749781	0	0	1.00012209018435	3.00109916954915	2.00048844025395	0	0	0	0	0	4.00195439749781	3.00109916954915	0	0	0	0	0	3.00109916954915	0	0	0	4.00195439749781	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435
Anxa1	0	2.00048844025395	1.00012209018435	9.00990220315199	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	7.00598826885697	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	14.0239804397716	0	0	0	3.00109916954915	0	0	5.00305424361532	0	0	0	0	0	2.00048844025395	0
Anxa2	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	7.00598826885697	0	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	6.00439882750478	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0
Aoc3	3.00109916954915	7.00598826885697	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	2.00048844025395	3.00109916954915	0	0	0	1.00012209018435	4.00195439749781	4.00195439749781	1.00012209018435	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	0	2.00048844025395	7.00598826885697
