GENEID	X7	X8	X13	X14	X15	X16	X21	X22	X23	X24	X29	X30	X31	X32	X40	X44	X47	X48	X49	X56	X63	X64	X65	X68	X71	X72	X76	X78	X79	X80	X87	X88	X94	X96
2500004C02Rik	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	7.00598826885697	0	0	0	0	0	0	0
2700060E02Rik	1.00012209018435	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	0	6.00439882750478	1.00012209018435	2.00048844025395	0	3.00109916954915	0	0	0	0	0	2.00048844025395	3.00109916954915	2.00048844025395	0	0
2700094K13Rik	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0
2810474O19Rik	1.00012209018435	0	0	0	3.00109916954915	0	0	0	2.00048844025395	0	0	0	4.00195439749781	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	5.00305424361532	0	0
4632427E13Rik	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	4.00195439749781	0	0	3.00109916954915	6.00439882750478	0	2.00048844025395	0	0
5430416N02Rik	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	0	5.00305424361532	2.00048844025395	2.00048844025395	0	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0
6330403K07Rik	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	4.00195439749781	0	0	0	17.0353762377124	6.00439882750478	15.0275330602518	5.00305424361532	0	1.00012209018435	4.00195439749781	7.00598826885697	1.00012209018435	8.00782268745052	0	0	4.00195439749781	2.00048844025395	4.00195439749781	5.00305424361532	1.00012209018435	1.00012209018435	0	7.00598826885697	0	11.0147970057849	10.0122269359159	0	3.00109916954915	5.00305424361532	0	7.00598826885697	2.00048844025395	9.00990220315199
A430073D23Rik	7.00598826885697	6.00439882750478	3.00109916954915	4.00195439749781	28.0961415204583	31.1179048445245	38.1773673823587	14.0239804397716	15.0275330602518	13.0206736374495	10.0122269359159	26.0828704059517	5.00305424361532	19.0442041347699	0	2.00048844025395	5.00305424361532	16.0313316193744	17.0353762377124	12.0176125328898	4.00195439749781	0	3.00109916954915	10.0122269359159	0	43.22730021288	16.0313316193744	2.00048844025395	13.0206736374495	13.0206736374495	14.0239804397716	27.0893822675098	8.00782268745052	43.22730021288
