GENEID	X99	X100	X101	X102	X103	X104	X106	X107	X110	X111	X112	X113	X114	X115	X117	X120	X121	X122	X123	X124	X126	X128	X129	X130	X131	X134	X135	X136	X137	X138	X140	X141	X142	X143	X144	X146	X147	X148	X149	X150	X151	X152	X153	X154	X156	X157	X158	X159	X160	X161	X163	X165	X167	X168	X169	X171	X172	X173	X174	X175	X176	X177	X182	X185	X188	X191
Abca1	0	1.00012209018435	0	0	0	0	4.00195439749781	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	5.00305424361532	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0
Abca8a	0	0	0	0	7.00598826885697	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	3.00109916954915	0	0	0	2.00048844025395	0	5.00305424361532	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0
Abcc9	0	0	0	0	4.00195439749781	0	0	13.0206736374495	15.0275330602518	0	0	0	11.0147970057849	0	2.00048844025395	0	3.00109916954915	0	2.00048844025395	0	2.00048844025395	5.00305424361532	0	0	3.00109916954915	6.00439882750478	0	0	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	2.00048844025395	1.00012209018435	0	3.00109916954915	3.00109916954915	0	4.00195439749781	0	5.00305424361532	4.00195439749781	6.00439882750478	0	3.00109916954915	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	4.00195439749781	4.00195439749781	0	0	0	0	1.00012209018435	13.0206736374495	0	0	1.00012209018435	2.00048844025395
Ablim1	0	0	0	0	0	7.00598826885697	3.00109916954915	0	0	0	1.00012209018435	3.00109916954915	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0
Acin1	0	0	2.00048844025395	2.00048844025395	2.00048844025395	4.00195439749781	2.00048844025395	2.00048844025395	0	0	0	3.00109916954915	1.00012209018435	2.00048844025395	7.00598826885697	2.00048844025395	0	1.00012209018435	1.00012209018435	0	4.00195439749781	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	0	0	2.00048844025395	0	0	0	0	2.00048844025395	1.00012209018435	4.00195439749781	1.00012209018435	0	0	1.00012209018435	2.00048844025395	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	0
Aco2	0	1.00012209018435	0	0	0	2.00048844025395	4.00195439749781	5.00305424361532	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0
Acta2	1.00012209018435	9.00990220315199	0	0	2.00048844025395	0	0	0	0	0	0	0	7.00598826885697	0	0	2.00048844025395	9.00990220315199	1.00012209018435	0	0	0	1.00012209018435	0	0	3.00109916954915	10.0122269359159	0	1.00012209018435	0	0	0	0	12.0176125328898	1.00012209018435	1.00012209018435	3.00109916954915	0	0	1.00012209018435	27.0893822675098	0	0	3.00109916954915	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	9.00990220315199	5.00305424361532	0	0	21.0540177177831	1.00012209018435	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0
Actb	6.00439882750478	59.4290518687863	7.00598826885697	12.0176125328898	15.0275330602518	58.4145626995135	14.0239804397716	13.0206736374495	30.1104026871881	0	15.0275330602518	43.22730021288	32.1256548803621	8.00782268745052	43.22730021288	15.0275330602518	54.3591168236642	12.0176125328898	6.00439882750478	4.00195439749781	27.0893822675098	33.1336529167031	31.1179048445245	46.2602511104364	44.2380343327527	55.3726019210037	22.0592944438992	12.0176125328898	6.00439882750478	64.505270141498	40.1965934523377	3.00109916954915	52.332898627509	2.00048844025395	12.0176125328898	22.0592944438992	0	16.0313316193744	12.0176125328898	28.0961415204583	5.00305424361532	6.00439882750478	35.1503934793561	6.00439882750478	1.00012209018435	20.048987655079	25.0766058142306	8.00782268745052	5.00305424361532	2.00048844025395	4.00195439749781	16.0313316193744	27.0893822675098	52.332898627509	33.1336529167031	33.1336529167031	6.00439882750478	28.0961415204583	6.00439882750478	12.0176125328898	7.00598826885697	30.1104026871881	2.00048844025395	15.0275330602518	19.0442041347699	9.00990220315199
Actg1	0	3.00109916954915	0	1.00012209018435	3.00109916954915	6.00439882750478	5.00305424361532	10.0122269359159	3.00109916954915	0	4.00195439749781	7.00598826885697	4.00195439749781	0	8.00782268745052	3.00109916954915	7.00598826885697	6.00439882750478	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	9.00990220315199	8.00782268745052	5.00305424361532	9.00990220315199	5.00305424361532	2.00048844025395	0	8.00782268745052	16.0313316193744	1.00012209018435	3.00109916954915	1.00012209018435	0	19.0442041347699	0	2.00048844025395	5.00305424361532	5.00305424361532	4.00195439749781	0	15.0275330602518	4.00195439749781	1.00012209018435	2.00048844025395	4.00195439749781	2.00048844025395	2.00048844025395	0	1.00012209018435	5.00305424361532	10.0122269359159	46.2602511104364	5.00305424361532	3.00109916954915	1.00012209018435	3.00109916954915	0	4.00195439749781	2.00048844025395	11.0147970057849	0	3.00109916954915	6.00439882750478	2.00048844025395
Actn1	0	4.00195439749781	0	0	0	0	4.00195439749781	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	7.00598826885697	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0	2.00048844025395	0	0	0	4.00195439749781	0	0	0	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	0	2.00048844025395	2.00048844025395	5.00305424361532	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	6.00439882750478	1.00012209018435	0	4.00195439749781	5.00305424361532	0	3.00109916954915	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	2.00048844025395
