GENEID	X6	X7	X8	X15	X16	X22	X30	X31	X32	X37	X38	X39	X40	X45	X47	X55	X56	X58	X62	X63	X66	X69	X72	X79	X80	X92	X96
Actb	15.0275330602518	12.0176125328898	3.00109916954915	31.1179048445245	37.1681275103067	23.0648179545339	5.00305424361532	0	2.00048844025395	26.0828704059517	16.0313316193744	47.2717340146999	52.332898627509	24.0705883708827	48.283466760365	43.22730021288	11.0147970057849	20.048987655079	52.332898627509	63.4895230811159	4.00195439749781	16.0313316193744	30.1104026871881	35.1503934793561	8.00782268745052	6.00439882750478	22.0592944438992
Actg1	8.00782268745052	29.1031482864402	1.00012209018435	6.00439882750478	8.00782268745052	7.00598826885697	1.00012209018435	0	5.00305424361532	4.00195439749781	9.00990220315199	34.1418990756402	13.0206736374495	3.00109916954915	16.0313316193744	10.0122269359159	4.00195439749781	4.00195439749781	4.00195439749781	14.0239804397716	0	1.00012209018435	15.0275330602518	7.00598826885697	6.00439882750478	2.00048844025395	8.00782268745052
Adam12	2.00048844025395	4.00195439749781	4.00195439749781	2.00048844025395	2.00048844025395	6.00439882750478	0	0	0	0	4.00195439749781	10.0122269359159	0	3.00109916954915	0	1.00012209018435	4.00195439749781	0	0	7.00598826885697	0	0	0	2.00048844025395	0	3.00109916954915	0
Adamts1	0	22.0592944438992	7.00598826885697	2.00048844025395	3.00109916954915	3.00109916954915	3.00109916954915	0	3.00109916954915	3.00109916954915	9.00990220315199	1.00012209018435	0	5.00305424361532	7.00598826885697	18.0396670359275	17.0353762377124	0	0	0	0	5.00305424361532	1.00012209018435	7.00598826885697	1.00012209018435	2.00048844025395	9.00990220315199
Adamts4	0	9.00990220315199	8.00782268745052	3.00109916954915	17.0353762377124	0	0	0	0	0	3.00109916954915	8.00782268745052	4.00195439749781	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	6.00439882750478	0	0	0	0	0	0	2.00048844025395
Adamts5	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	5.00305424361532	0	0	0
Adamts8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0
Adcyap1r1	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395
Add1	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	8.00782268745052	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0
Add3	2.00048844025395	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	6.00439882750478	5.00305424361532	0	0	3.00109916954915	0	0	0	1.00012209018435	1.00012209018435	0	0
Adgra2	0	3.00109916954915	0	1.00012209018435	3.00109916954915	3.00109916954915	0	0	1.00012209018435	0	1.00012209018435	6.00439882750478	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0
Ado	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	3.00109916954915	0	0	2.00048844025395	1.00012209018435	0	0	0
Adra2a	0	0	5.00305424361532	9.00990220315199	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	4.00195439749781	2.00048844025395	0	0	0
Aebp1	0	5.00305424361532	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	3.00109916954915	2.00048844025395	1.00012209018435	0	2.00048844025395	3.00109916954915	0	0	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	0	0
Aebp2	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	3.00109916954915	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	5.00305424361532	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435
Aff4	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	0	0	2.00048844025395	0	0	0	0	1.00012209018435	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0
Ago2	5.00305424361532	5.00305424361532	4.00195439749781	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	4.00195439749781	4.00195439749781	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	4.00195439749781	2.00048844025395	0	4.00195439749781	0	0	0	3.00109916954915
Agtr2	14.0239804397716	1.00012209018435	0	0	0	15.0275330602518	0	0	11.0147970057849	0	22.0592944438992	32.1256548803621	0	9.00990220315199	0	0	3.00109916954915	0	0	0	4.00195439749781	0	0	0	6.00439882750478	6.00439882750478	0
