GENEID	X1	X2	X3	X4	X5	X6	X8	X9	X11	X15	X16	X17	X18	X19	X21	X22	X24	X26	X27	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X44	X46	X47	X48	X50	X51	X52	X53	X54	X56	X58	X60	X61	X62	X66	X70	X72	X74	X75	X78	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X95	X96
Actg1	3.00109916954915	2.00048844025395	5.00305424361532	3.00109916954915	1.00012209018435	8.00782268745052	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	16.0313316193744	23.0648179545339	1.00012209018435	1.00012209018435	0	1.00012209018435	11.0147970057849	1.00012209018435	4.00195439749781	24.0705883708827	3.00109916954915	3.00109916954915	4.00195439749781	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	0	3.00109916954915	6.00439882750478	0	8.00782268745052	55.3726019210037	1.00012209018435	15.0275330602518	6.00439882750478	20.048987655079	4.00195439749781	23.0648179545339	13.0206736374495	4.00195439749781	79.771780546812	35.1503934793561	3.00109916954915	0	6.00439882750478	10.0122269359159	21.0540177177831	7.00598826885697	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	0	9.00990220315199	2.00048844025395	1.00012209018435	0	0	0	29.1031482864402	23.0648179545339	18.0396670359275	2.00048844025395
Actn1	0	1.00012209018435	0	7.00598826885697	0	2.00048844025395	0	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	0	0	2.00048844025395	0	0	3.00109916954915	0	0	1.00012209018435	0	0	3.00109916954915	0	5.00305424361532	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	2.00048844025395	3.00109916954915	2.00048844025395	1.00012209018435	0
Actn4	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	0	0	6.00439882750478	0	2.00048844025395	3.00109916954915	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	0	0	1.00012209018435	2.00048844025395	4.00195439749781	0	2.00048844025395	0	2.00048844025395	0	2.00048844025395	1.00012209018435	3.00109916954915	7.00598826885697	0	2.00048844025395	0	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	4.00195439749781	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	4.00195439749781	3.00109916954915	0	2.00048844025395
Actr2	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	5.00305424361532	3.00109916954915	1.00012209018435	0
Actr3	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	2.00048844025395	6.00439882750478	0	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	0	4.00195439749781	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	9.00990220315199	5.00305424361532	1.00012209018435	0
Adamts1	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	2.00048844025395	0	0	5.00305424361532	0	0	1.00012209018435	0	0	9.00990220315199	22.0592944438992	6.00439882750478	3.00109916954915	0	0	1.00012209018435	6.00439882750478	2.00048844025395	4.00195439749781	4.00195439749781	2.00048844025395	0	1.00012209018435	6.00439882750478	0	15.0275330602518	2.00048844025395	0	4.00195439749781	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	5.00305424361532	7.00598826885697	0	0	0	0	0	0	8.00782268745052	0
Adamts15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0
Adamts4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	7.00598826885697	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	9.00990220315199	4.00195439749781	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	20.048987655079	0	0	0	0
Adamts5	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	1.00012209018435	9.00990220315199	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	3.00109916954915	0
Add1	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	1.00012209018435	3.00109916954915	5.00305424361532	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0
Add3	0	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	3.00109916954915	5.00305424361532	1.00012209018435	1.00012209018435
Adgrl4	0	0	0	0	0	1.00012209018435	4.00195439749781	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	0	4.00195439749781	0	0	0	0	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	4.00195439749781	0	0	0	7.00598826885697	0	0	7.00598826885697	4.00195439749781	7.00598826885697	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Adh1	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	4.00195439749781	1.00012209018435	1.00012209018435	0	0	0	0	0	8.00782268745052	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	0	7.00598826885697	0	0	0	0	0	0	4.00195439749781	0
Adm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adra2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0
