GENEID	X3	X4	X7	X12	X14	X15	X16	X17	X24	X31	X32	X36	X38	X39	X40	X43	X45	X47	X54	X56	X57	X61	X62	X63	X64	X69	X70	X71	X72	X74	X76	X77	X78	X79	X80	X85	X86	X87	X88	X92	X94	X96
AU020206	0	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0
Abca1	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	2.00048844025395	0	2.00048844025395	2.00048844025395	0	0	0	0	3.00109916954915	0	4.00195439749781	1.00012209018435	3.00109916954915	1.00012209018435	5.00305424361532	3.00109916954915	0	2.00048844025395	0	1.00012209018435	2.00048844025395	2.00048844025395
Abca8a	0	0	0	4.00195439749781	0	0	0	0	3.00109916954915	0	7.00598826885697	0	0	0	3.00109916954915	2.00048844025395	4.00195439749781	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0
Abcc9	5.00305424361532	7.00598826885697	0	7.00598826885697	3.00109916954915	5.00305424361532	0	0	0	5.00305424361532	2.00048844025395	1.00012209018435	6.00439882750478	4.00195439749781	4.00195439749781	2.00048844025395	9.00990220315199	0	2.00048844025395	1.00012209018435	0	0	3.00109916954915	0	0	4.00195439749781	0	1.00012209018435	8.00782268745052	0	8.00782268745052	5.00305424361532	2.00048844025395	0	3.00109916954915	0	0	2.00048844025395	5.00305424361532	2.00048844025395	1.00012209018435	8.00782268745052
Abl1	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915
Abracl	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	6.00439882750478	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0
Ace2	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0
Acin1	4.00195439749781	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	5.00305424361532	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	2.00048844025395
Ackr4	0	0	5.00305424361532	0	0	1.00012209018435	0	27.0893822675098	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	7.00598826885697	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0
Aco1	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
