GENEID	X98	X99	X100	X104	X105	X107	X112	X113	X114	X116	X118	X121	X123	X129	X131	X135	X136	X137	X138	X139	X140	X141	X146	X151	X152	X153	X154	X158	X159	X160	X161	X162	X163	X168	X169	X170	X174	X175	X181	X184	X185	X186	X187	X189	X192
Abca1	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	4.00195439749781	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	4.00195439749781	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	8.00782268745052	0	0	0	6.00439882750478	0
Abca8a	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	6.00439882750478	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	3.00109916954915	0	1.00012209018435
Abcc9	0	0	0	0	8.00782268745052	10.0122269359159	0	0	0	6.00439882750478	4.00195439749781	2.00048844025395	0	0	0	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	6.00439882750478	0	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0
Abcg2	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	5.00305424361532	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	0	0	2.00048844025395	0	1.00012209018435	0	0	3.00109916954915	0	2.00048844025395	0	0	1.00012209018435	0
Ablim1	0	0	6.00439882750478	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	4.00195439749781	0	1.00012209018435	1.00012209018435	0	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0
Acadl	0	0	6.00439882750478	0	3.00109916954915	0	2.00048844025395	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	6.00439882750478	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0
Ace	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0
Ackr2	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ackr4	0	0	0	0	0	0	0	0	29.1031482864402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0
Aco2	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435
