GENEID	X99	X101	X103	X104	X108	X109	X110	X112	X117	X119	X120	X122	X126	X127	X128	X139	X141	X143	X152	X155	X159	X160	X164	X168	X172	X175	X176	X183	X192
Actg1	1.00012209018435	4.00195439749781	2.00048844025395	3.00109916954915	13.0206736374495	3.00109916954915	4.00195439749781	3.00109916954915	2.00048844025395	5.00305424361532	1.00012209018435	0	6.00439882750478	0	15.0275330602518	2.00048844025395	3.00109916954915	15.0275330602518	3.00109916954915	0	4.00195439749781	1.00012209018435	1.00012209018435	8.00782268745052	1.00012209018435	3.00109916954915	5.00305424361532	2.00048844025395	0
Actn1	0	0	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	1.00012209018435	0	3.00109916954915	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	4.00195439749781	3.00109916954915	2.00048844025395	5.00305424361532	1.00012209018435
Adam12	1.00012209018435	2.00048844025395	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	0	3.00109916954915	0	0	2.00048844025395	5.00305424361532	1.00012209018435	0	0	0	0	0	0
Adamts1	0	3.00109916954915	1.00012209018435	0	0	6.00439882750478	0	4.00195439749781	2.00048844025395	0	10.0122269359159	1.00012209018435	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	0
Adamts20	2.00048844025395	5.00305424361532	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0
Adamts5	0	1.00012209018435	0	2.00048844025395	0	3.00109916954915	0	1.00012209018435	3.00109916954915	4.00195439749781	6.00439882750478	0	1.00012209018435	0	0	4.00195439749781	0	1.00012209018435	0	3.00109916954915	0	2.00048844025395	0	0	0	0	0	3.00109916954915	0
Adm	0	2.00048844025395	0	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	6.00439882750478
Ahnak	6.00439882750478	3.00109916954915	2.00048844025395	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	3.00109916954915	0	5.00305424361532	0	6.00439882750478	2.00048844025395	4.00195439749781	1.00012209018435	0	2.00048844025395	2.00048844025395	4.00195439749781	1.00012209018435	3.00109916954915	4.00195439749781	5.00305424361532	0	2.00048844025395	3.00109916954915
Akap2	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0	0	3.00109916954915	2.00048844025395	0	0	0	0	0	1.00012209018435	2.00048844025395	0	3.00109916954915	1.00012209018435	5.00305424361532	1.00012209018435	0	0
Akr1a1	5.00305424361532	0	0	2.00048844025395	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	0	3.00109916954915	0	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0
Amotl2	1.00012209018435	0	0	0	0	6.00439882750478	0	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	2.00048844025395	0
Angptl2	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	0	2.00048844025395	0	1.00012209018435	0
Angptl4	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	3.00109916954915	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0
Ano6	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	0
Anxa5	0	0	0	0	0	2.00048844025395	5.00305424361532	3.00109916954915	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	0	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	3.00109916954915
