GENEID	X2	X5	X9	X15	X16	X18	X27	X30	X31	X32	X34	X36	X37	X38	X40	X41	X42	X46	X49	X52	X58	X59	X61	X62	X65	X66	X68	X69	X73	X74	X75	X78	X88	X89	X93
Aoc3	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	3.00109916954915	1.00012209018435	0	2.00048844025395	10.0122269359159	0	6.00439882750478	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	5.00305424361532	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435
Aplp2	0	0	7.00598826885697	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0
Apoe	7.00598826885697	3.00109916954915	2.00048844025395	1.00012209018435	73.6583465760993	17.0353762377124	0	36.1591362501238	1.00012209018435	104.317172351477	192.451188968122	0	10.0122269359159	1.00012209018435	41.2065798956254	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	40.1965934523377	13.0206736374495	51.3201652807748	38.1773673823587	25.0766058142306	45.2490179242113	69.5877872348756	38.1773673823587	1.00012209018435	3.00109916954915	4.00195439749781	29.1031482864402	0	0	7.00598826885697
Apold1	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	8.00782268745052	0	1.00012209018435	0	0
App	0	0	6.00439882750478	3.00109916954915	10.0122269359159	2.00048844025395	1.00012209018435	0	1.00012209018435	5.00305424361532	7.00598826885697	0	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	2.00048844025395	17.0353762377124	6.00439882750478	2.00048844025395	5.00305424361532	8.00782268745052	0	0	0	2.00048844025395	0	0	0	0
Aqp1	0	0	23.0648179545339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcn1	0	1.00012209018435	5.00305424361532	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	3.00109916954915	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	2.00048844025395	4.00195439749781	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0
Arf4	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	0	0	2.00048844025395	6.00439882750478	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	3.00109916954915	0	4.00195439749781	2.00048844025395	0	2.00048844025395	8.00782268745052	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915
Arhgap42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0
Arid4b	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0
Arid5b	0	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	11.0147970057849	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	2.00048844025395	0	9.00990220315199	0	0	1.00012209018435	4.00195439749781	0	0	0	0	0	0	1.00012209018435	0
Arl5b	0	0	0	0	0	1.00012209018435	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	4.00195439749781	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0
Arl5c	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0
Ash1l	0	0	3.00109916954915	0	0	0	0	1.00012209018435	0	0	5.00305424361532	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0
Aspn	0	0	0	7.00598826885697	0	0	1.00012209018435	0	0	0	4.00195439749781	1.00012209018435	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
