GENEID	X128	X129	X157	X158	X176	X192
Arpc5	3.00109916954915	4.00195439749781	2.00048844025395	2.00048844025395	4.00195439749781	5.00305424361532
Art3	0	1.00012209018435	0	0	8.00782268745052	0
Ash1l	1.00012209018435	1.00012209018435	3.00109916954915	10.0122269359159	0	3.00109916954915
Aspn	2.00048844025395	7.00598826885697	1.00012209018435	0	14.0239804397716	2.00048844025395
Atf3	5.00305424361532	0	3.00109916954915	0	1.00012209018435	15.0275330602518
Atf4	7.00598826885697	5.00305424361532	9.00990220315199	4.00195439749781	3.00109916954915	15.0275330602518
Atp2b1	0	6.00439882750478	0	0	1.00012209018435	1.00012209018435
Atp2b4	0	5.00305424361532	0	1.00012209018435	1.00012209018435	2.00048844025395
Atp5a1	2.00048844025395	7.00598826885697	5.00305424361532	9.00990220315199	4.00195439749781	10.0122269359159
Atp5b	9.00990220315199	16.0313316193744	5.00305424361532	9.00990220315199	4.00195439749781	6.00439882750478
Atp5d	1.00012209018435	8.00782268745052	4.00195439749781	3.00109916954915	1.00012209018435	4.00195439749781
Atp5f1	1.00012209018435	4.00195439749781	5.00305424361532	3.00109916954915	2.00048844025395	2.00048844025395
Atp5g3	4.00195439749781	7.00598826885697	5.00305424361532	4.00195439749781	5.00305424361532	3.00109916954915
Atp6ap1	0	8.00782268745052	2.00048844025395	0	0	0
Atp6v1a	1.00012209018435	1.00012209018435	6.00439882750478	0	0	0
Atp6v1b2	0	0	1.00012209018435	0	2.00048844025395	5.00305424361532
Atpif1	3.00109916954915	5.00305424361532	0	1.00012209018435	2.00048844025395	2.00048844025395
Atrx	5.00305424361532	0	3.00109916954915	8.00782268745052	5.00305424361532	3.00109916954915
Atxn10	0	0	5.00305424361532	0	4.00195439749781	0
Atxn2l	0	0	0	2.00048844025395	5.00305424361532	0
Atxn7l3b	1.00012209018435	4.00195439749781	1.00012209018435	10.0122269359159	5.00305424361532	6.00439882750478
Azin1	1.00012209018435	0	5.00305424361532	1.00012209018435	0	2.00048844025395
B2m	27.0893822675098	32.1256548803621	32.1256548803621	4.00195439749781	5.00305424361532	25.0766058142306
B4galt1	1.00012209018435	0	1.00012209018435	5.00305424361532	0	2.00048844025395
B4galt6	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0
BC005561	0	1.00012209018435	6.00439882750478	1.00012209018435	5.00305424361532	1.00012209018435
BC051077	1.00012209018435	6.00439882750478	2.00048844025395	6.00439882750478	3.00109916954915	0
Bach1	4.00195439749781	2.00048844025395	6.00439882750478	5.00305424361532	3.00109916954915	7.00598826885697
Bag3	3.00109916954915	1.00012209018435	6.00439882750478	3.00109916954915	2.00048844025395	2.00048844025395
Basp1	0	2.00048844025395	0	7.00598826885697	0	0
Baz1a	5.00305424361532	4.00195439749781	1.00012209018435	2.00048844025395	1.00012209018435	0
Baz1b	1.00012209018435	0	2.00048844025395	6.00439882750478	4.00195439749781	1.00012209018435
Bcar3	0	0	0	0	8.00782268745052	0
Bclaf1	3.00109916954915	5.00305424361532	2.00048844025395	3.00109916954915	6.00439882750478	5.00305424361532
Bdp1	0	1.00012209018435	0	3.00109916954915	2.00048844025395	5.00305424361532
Bgn	5.00305424361532	14.0239804397716	6.00439882750478	6.00439882750478	11.0147970057849	10.0122269359159
Bhlhe40	1.00012209018435	0	7.00598826885697	0	0	3.00109916954915
Birc2	9.00990220315199	0	1.00012209018435	3.00109916954915	1.00012209018435	6.00439882750478
Birc3	6.00439882750478	0	6.00439882750478	1.00012209018435	0	10.0122269359159
Birc6	0	2.00048844025395	5.00305424361532	6.00439882750478	2.00048844025395	0
Blzf1	0	0	0	0	1.00012209018435	5.00305424361532
Bmpr2	0	0	3.00109916954915	5.00305424361532	0	0
Bnip3l	1.00012209018435	8.00782268745052	3.00109916954915	3.00109916954915	3.00109916954915	3.00109916954915
Bod1l	0	9.00990220315199	0	2.00048844025395	1.00012209018435	2.00048844025395
Bptf	3.00109916954915	1.00012209018435	3.00109916954915	3.00109916954915	5.00305424361532	3.00109916954915
Brd2	0	6.00439882750478	1.00012209018435	2.00048844025395	5.00305424361532	11.0147970057849
Bsg	1.00012209018435	6.00439882750478	2.00048844025395	3.00109916954915	2.00048844025395	2.00048844025395
Btf3	3.00109916954915	2.00048844025395	5.00305424361532	6.00439882750478	4.00195439749781	2.00048844025395
Btg1	0	4.00195439749781	5.00305424361532	3.00109916954915	1.00012209018435	6.00439882750478
Btg2	0	1.00012209018435	10.0122269359159	0	10.0122269359159	10.0122269359159
C1qtnf6	1.00012209018435	6.00439882750478	6.00439882750478	1.00012209018435	3.00109916954915	9.00990220315199
C1ra	3.00109916954915	1.00012209018435	12.0176125328898	5.00305424361532	1.00012209018435	11.0147970057849
C1s1	15.0275330602518	14.0239804397716	18.0396670359275	4.00195439749781	10.0122269359159	9.00990220315199
C3	18.0396670359275	5.00305424361532	16.0313316193744	64.505270141498	1.00012209018435	60.4437923669776
C4a	6.00439882750478	0	1.00012209018435	0	0	3.00109916954915
Cald1	8.00782268745052	14.0239804397716	4.00195439749781	9.00990220315199	2.00048844025395	8.00782268745052
Calm1	2.00048844025395	8.00782268745052	0	4.00195439749781	10.0122269359159	9.00990220315199
Calr	0	7.00598826885697	4.00195439749781	11.0147970057849	2.00048844025395	2.00048844025395
Canx	5.00305424361532	10.0122269359159	1.00012209018435	3.00109916954915	0	5.00305424361532
Capn2	4.00195439749781	5.00305424361532	0	1.00012209018435	0	1.00012209018435
Capn6	0	0	0	9.00990220315199	0	0
Capzb	2.00048844025395	2.00048844025395	0	2.00048844025395	2.00048844025395	5.00305424361532
Casp4	0	2.00048844025395	5.00305424361532	0	0	9.00990220315199
Cbx3	0	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	7.00598826885697
Ccar1	1.00012209018435	6.00439882750478	0	2.00048844025395	0	2.00048844025395
Ccdc80	1.00012209018435	1.00012209018435	2.00048844025395	7.00598826885697	3.00109916954915	2.00048844025395
Ccdc88a	2.00048844025395	5.00305424361532	1.00012209018435	1.00012209018435	3.00109916954915	5.00305424361532
Ccl11	7.00598826885697	9.00990220315199	1.00012209018435	13.0206736374495	0	7.00598826885697
Ccl19	12.0176125328898	0	7.00598826885697	0	0	24.0705883708827
Ccl2	53.3458824338344	2.00048844025395	38.1773673823587	2.00048844025395	0	12.0176125328898
Ccl7	30.1104026871881	0	0	2.00048844025395	0	2.00048844025395
Ccnd2	2.00048844025395	2.00048844025395	10.0122269359159	0	2.00048844025395	27.0893822675098
Ccnl1	3.00109916954915	3.00109916954915	3.00109916954915	1.00012209018435	1.00012209018435	7.00598826885697
