GENEID	X1	X2	X3	X5	X6	X7	X8	X9	X12	X13	X15	X16	X19	X20	X21	X23	X24	X25	X26	X27	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96
Acap2	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	4.00195439749781	0	0	0	0	0	5.00305424361532	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	0
Aco2	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	2.00048844025395	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395
Acta2	8.00782268745052	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	5.00305424361532	7.00598826885697	2.00048844025395	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	6.00439882750478	0	4.00195439749781	0	1.00012209018435	0	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	0	2.00048844025395	3.00109916954915	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	5.00305424361532	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	4.00195439749781	2.00048844025395	1.00012209018435	12.0176125328898	19.0442041347699	1.00012209018435	4.00195439749781	1.00012209018435	0	2.00048844025395	1.00012209018435	0	3.00109916954915	0	10.0122269359159	2.00048844025395	1.00012209018435	7.00598826885697
Actb	22.0592944438992	6.00439882750478	7.00598826885697	19.0442041347699	19.0442041347699	3.00109916954915	5.00305424361532	1.00012209018435	6.00439882750478	53.3458824338344	32.1256548803621	14.0239804397716	11.0147970057849	22.0592944438992	9.00990220315199	12.0176125328898	44.2380343327527	57.4003247346927	13.0206736374495	8.00782268745052	44.2380343327527	44.2380343327527	17.0353762377124	15.0275330602518	2.00048844025395	12.0176125328898	10.0122269359159	16.0313316193744	8.00782268745052	7.00598826885697	84.8732882432719	12.0176125328898	4.00195439749781	11.0147970057849	4.00195439749781	11.0147970057849	22.0592944438992	30.1104026871881	16.0313316193744	14.0239804397716	4.00195439749781	12.0176125328898	14.0239804397716	28.0961415204583	20.048987655079	4.00195439749781	12.0176125328898	4.00195439749781	22.0592944438992	22.0592944438992	13.0206736374495	6.00439882750478	10.0122269359159	26.0828704059517	10.0122269359159	2.00048844025395	10.0122269359159	3.00109916954915	31.1179048445245	18.0396670359275	4.00195439749781	14.0239804397716	9.00990220315199	5.00305424361532	17.0353762377124	2.00048844025395	2.00048844025395	30.1104026871881	33.1336529167031	11.0147970057849	21.0540177177831	37.1681275103067	8.00782268745052	4.00195439749781	33.1336529167031	30.1104026871881	29.1031482864402	6.00439882750478	1.00012209018435	15.0275330602518	13.0206736374495	40.1965934523377	28.0961415204583	9.00990220315199	31.1179048445245
Actg1	9.00990220315199	3.00109916954915	0	1.00012209018435	5.00305424361532	3.00109916954915	2.00048844025395	0	0	0	6.00439882750478	0	0	0	1.00012209018435	2.00048844025395	12.0176125328898	12.0176125328898	3.00109916954915	3.00109916954915	11.0147970057849	10.0122269359159	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	42.2168154415037	4.00195439749781	5.00305424361532	1.00012209018435	1.00012209018435	4.00195439749781	3.00109916954915	5.00305424361532	3.00109916954915	2.00048844025395	2.00048844025395	2.00048844025395	4.00195439749781	7.00598826885697	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	4.00195439749781	0	5.00305424361532	2.00048844025395	4.00195439749781	1.00012209018435	0	1.00012209018435	1.00012209018435	0	3.00109916954915	3.00109916954915	15.0275330602518	1.00012209018435	2.00048844025395	5.00305424361532	2.00048844025395	10.0122269359159	12.0176125328898	3.00109916954915	6.00439882750478	2.00048844025395	2.00048844025395	0	1.00012209018435	5.00305424361532	5.00305424361532	1.00012209018435	5.00305424361532
Actn1	2.00048844025395	3.00109916954915	0	0	0	0	2.00048844025395	0	1.00012209018435	4.00195439749781	0	0	1.00012209018435	4.00195439749781	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	5.00305424361532	8.00782268745052	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	3.00109916954915	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	2.00048844025395	0	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	3.00109916954915	1.00012209018435	0	3.00109916954915	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	2.00048844025395	4.00195439749781	0	0
Actn4	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	0	0	7.00598826885697	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	3.00109916954915	0	5.00305424361532	2.00048844025395	0	0	0	1.00012209018435	0	2.00048844025395	0	4.00195439749781	1.00012209018435	0	1.00012209018435	0	4.00195439749781	0	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	2.00048844025395	6.00439882750478	4.00195439749781	0	0	0	3.00109916954915	2.00048844025395	0	3.00109916954915	2.00048844025395	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	2.00048844025395	4.00195439749781
Actr3	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	2.00048844025395	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	0
Adam12	0	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	0	3.00109916954915	0	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	2.00048844025395	0	4.00195439749781	1.00012209018435	4.00195439749781	0	0	2.00048844025395	3.00109916954915	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	2.00048844025395	0	8.00782268745052	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	4.00195439749781	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	3.00109916954915	0	2.00048844025395	2.00048844025395	0	1.00012209018435
Adamts1	6.00439882750478	4.00195439749781	5.00305424361532	3.00109916954915	1.00012209018435	0	23.0648179545339	1.00012209018435	0	2.00048844025395	3.00109916954915	19.0442041347699	3.00109916954915	10.0122269359159	0	0	0	1.00012209018435	17.0353762377124	0	0	2.00048844025395	1.00012209018435	6.00439882750478	0	6.00439882750478	0	0	0	1.00012209018435	0	3.00109916954915	12.0176125328898	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	12.0176125328898	7.00598826885697	1.00012209018435	29.1031482864402	0	3.00109916954915	7.00598826885697	0	8.00782268745052	0	6.00439882750478	4.00195439749781	0	0	0	4.00195439749781	0	0	15.0275330602518	13.0206736374495	0	12.0176125328898	7.00598826885697	2.00048844025395	0	0	0	4.00195439749781	20.048987655079	2.00048844025395	2.00048844025395	5.00305424361532	4.00195439749781	9.00990220315199	4.00195439749781	2.00048844025395	3.00109916954915	2.00048844025395	18.0396670359275	0	5.00305424361532	0	15.0275330602518	12.0176125328898
