GENEID	X23	X41	X47	X70	X79	X84	X92	X94
Aes	0	5.00305424361532	0	2.00048844025395	0	2.00048844025395	3.00109916954915	5.00305424361532
Agtr1a	0	0	0	0	0	5.00305424361532	5.00305424361532	0
Ahnak	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	20.048987655079	16.0313316193744	3.00109916954915
Ahr	0	1.00012209018435	0	1.00012209018435	0	7.00598826885697	1.00012209018435	0
Akap2	0	0	1.00012209018435	0	0	26.0828704059517	5.00305424361532	2.00048844025395
Akr1a1	2.00048844025395	0	0	0	0	5.00305424361532	7.00598826885697	1.00012209018435
Aldh2	0	0	0	0	1.00012209018435	6.00439882750478	2.00048844025395	0
Aldoa	1.00012209018435	1.00012209018435	0	0	0	6.00439882750478	9.00990220315199	0
Amotl2	1.00012209018435	1.00012209018435	0	0	0	0	7.00598826885697	1.00012209018435
Anapc5	1.00012209018435	0	0	0	0	6.00439882750478	2.00048844025395	0
Angel2	0	0	0	0	5.00305424361532	0	2.00048844025395	0
Ankrd11	0	0	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	4.00195439749781	8.00782268745052
Ankrd12	0	0	0	0	0	5.00305424361532	7.00598826885697	0
Ano1	0	0	0	0	0	3.00109916954915	6.00439882750478	0
Anxa2	0	4.00195439749781	0	1.00012209018435	0	1.00012209018435	0	7.00598826885697
Aoc3	0	0	0	1.00012209018435	0	6.00439882750478	4.00195439749781	1.00012209018435
Ap2m1	0	1.00012209018435	0	2.00048844025395	0	6.00439882750478	3.00109916954915	0
Apbb2	0	1.00012209018435	0	0	0	5.00305424361532	3.00109916954915	2.00048844025395
Api5	0	0	0	0	0	1.00012209018435	0	7.00598826885697
Aplp2	0	4.00195439749781	0	0	0	1.00012209018435	6.00439882750478	1.00012209018435
Apoe	29.1031482864402	1.00012209018435	4.00195439749781	33.1336529167031	1.00012209018435	75.6951442311975	130.042668296521	5.00305424361532
Apold1	1.00012209018435	9.00990220315199	1.00012209018435	0	0	6.00439882750478	0	2.00048844025395
App	1.00012209018435	13.0206736374495	0	6.00439882750478	0	7.00598826885697	18.0396670359275	5.00305424361532
Aqp1	0	11.0147970057849	0	0	0	0	0	7.00598826885697
