GENEID	X100	X101	X103	X105	X107	X108	X109	X111	X112	X113	X114	X116	X117	X118	X119	X120	X122	X125	X127	X128	X130	X136	X137	X140	X142	X143	X144	X148	X149	X151	X152	X153	X154	X156	X157	X158	X160	X165	X166	X169	X170	X171	X172	X173	X174	X177	X181	X185	X187	X189	X191	X192
Abhd17b	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	6.00439882750478	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
Ablim1	0	1.00012209018435	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	0	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	1.00012209018435
Ackr4	0	0	0	0	0	0	3.00109916954915	0	0	0	0	13.0206736374495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0
Acta2	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	6.00439882750478	0	0	0	0	5.00305424361532	0	0	0	0	0	7.00598826885697	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	9.00990220315199	0	0	0	0	0	0
Actb	5.00305424361532	8.00782268745052	6.00439882750478	29.1031482864402	3.00109916954915	3.00109916954915	5.00305424361532	23.0648179545339	9.00990220315199	4.00195439749781	1.00012209018435	14.0239804397716	0	31.1179048445245	25.0766058142306	4.00195439749781	7.00598826885697	23.0648179545339	2.00048844025395	0	38.1773673823587	24.0705883708827	13.0206736374495	46.2602511104364	4.00195439749781	3.00109916954915	7.00598826885697	21.0540177177831	11.0147970057849	9.00990220315199	10.0122269359159	51.3201652807748	27.0893822675098	23.0648179545339	6.00439882750478	11.0147970057849	1.00012209018435	29.1031482864402	8.00782268745052	14.0239804397716	15.0275330602518	9.00990220315199	25.0766058142306	21.0540177177831	9.00990220315199	30.1104026871881	4.00195439749781	0	9.00990220315199	9.00990220315199	16.0313316193744	5.00305424361532
Actg1	0	1.00012209018435	5.00305424361532	4.00195439749781	4.00195439749781	0	1.00012209018435	3.00109916954915	3.00109916954915	0	0	5.00305424361532	1.00012209018435	10.0122269359159	6.00439882750478	2.00048844025395	1.00012209018435	5.00305424361532	0	0	15.0275330602518	9.00990220315199	1.00012209018435	14.0239804397716	0	1.00012209018435	3.00109916954915	23.0648179545339	14.0239804397716	0	6.00439882750478	22.0592944438992	13.0206736374495	4.00195439749781	2.00048844025395	3.00109916954915	0	42.2168154415037	1.00012209018435	6.00439882750478	1.00012209018435	2.00048844025395	24.0705883708827	1.00012209018435	2.00048844025395	10.0122269359159	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	4.00195439749781
Actn4	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	4.00195439749781	0	0	1.00012209018435	3.00109916954915	3.00109916954915	0	1.00012209018435	2.00048844025395	6.00439882750478	3.00109916954915	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0
Adamts1	3.00109916954915	1.00012209018435	0	6.00439882750478	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	2.00048844025395	5.00305424361532	0	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	8.00782268745052	17.0353762377124	0	2.00048844025395	15.0275330602518	7.00598826885697	9.00990220315199	5.00305424361532	2.00048844025395	2.00048844025395	2.00048844025395	9.00990220315199	1.00012209018435	0	0	24.0705883708827	1.00012209018435	2.00048844025395	0	3.00109916954915	1.00012209018435	5.00305424361532	0	5.00305424361532	1.00012209018435	0	0	10.0122269359159	1.00012209018435	0
Adamts4	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	13.0206736374495	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	19.0442041347699	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
Adamts5	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	0	0	0	0	0	0	1.00012209018435	0	10.0122269359159	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435
Adcyap1r1	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	1.00012209018435	0	0
Adgrf5	0	0	4.00195439749781	0	0	0	6.00439882750478	0	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	1.00012209018435	0	0	3.00109916954915	2.00048844025395	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0
Adgrl4	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	3.00109916954915	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
Adh1	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	10.0122269359159	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	3.00109916954915	4.00195439749781	0
