GENEID	X97	X99	X102	X104	X105	X106	X107	X110	X112	X115	X116	X119	X120	X122	X127	X128	X130	X131	X136	X137	X138	X143	X144	X145	X147	X148	X149	X150	X151	X152	X155	X157	X158	X159	X160	X161	X162	X164	X166	X168	X171	X173	X175	X176	X177	X178	X179	X181	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192
Aamp	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	3.00109916954915	0	0	0	0	1.00012209018435	5.00305424361532	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	2.00048844025395	1.00012209018435
Abca1	0	2.00048844025395	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	8.00782268745052	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435
Abca8a	2.00048844025395	0	0	2.00048844025395	0	0	0	0	6.00439882750478	0	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	2.00048844025395	5.00305424361532	3.00109916954915	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	2.00048844025395	0	4.00195439749781	0
Abcb1b	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	9.00990220315199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0
Abcc9	2.00048844025395	1.00012209018435	1.00012209018435	3.00109916954915	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	5.00305424361532	0	1.00012209018435	1.00012209018435	9.00990220315199	1.00012209018435	0	7.00598826885697	0	5.00305424361532	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	0	0	0	0	2.00048844025395	0	2.00048844025395	0	10.0122269359159	3.00109916954915	1.00012209018435	0	4.00195439749781	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	3.00109916954915	3.00109916954915	1.00012209018435
Abce1	0	0	0	4.00195439749781	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	3.00109916954915	2.00048844025395	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	1.00012209018435	4.00195439749781	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	0	5.00305424361532	0
Abcf1	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	3.00109916954915	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435
Abcg2	0	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	7.00598826885697	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0
Abhd4	0	0	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	3.00109916954915	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	2.00048844025395	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	1.00012209018435	0
Abi1	2.00048844025395	4.00195439749781	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	4.00195439749781	0	0	2.00048844025395	5.00305424361532	0	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	4.00195439749781	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	3.00109916954915	2.00048844025395
