GENEID	X5	X16	X23	X24	X36	X37	X44	X46	X47	X48	X49	X56	X60	X62	X63	X64	X69	X72	X77	X78	X80	X88	X95
Ago2	0	0	3.00109916954915	0	0	6.00439882750478	4.00195439749781	3.00109916954915	2.00048844025395	0	5.00305424361532	0	0	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915
Agtr2	0	6.00439882750478	0	0	0	0	0	2.00048844025395	26.0828704059517	19.0442041347699	14.0239804397716	4.00195439749781	0	0	0	2.00048844025395	44.2380343327527	1.00012209018435	0	23.0648179545339	6.00439882750478	6.00439882750478	11.0147970057849
Ahnak	6.00439882750478	6.00439882750478	5.00305424361532	0	1.00012209018435	15.0275330602518	4.00195439749781	12.0176125328898	10.0122269359159	11.0147970057849	18.0396670359275	0	12.0176125328898	16.0313316193744	6.00439882750478	8.00782268745052	3.00109916954915	4.00195439749781	5.00305424361532	5.00305424361532	9.00990220315199	9.00990220315199	26.0828704059517
Ahsa1	0	0	0	0	0	2.00048844025395	0	6.00439882750478	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435
Aimp1	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	5.00305424361532	0	2.00048844025395	1.00012209018435
Ajuba	0	0	9.00990220315199	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0
Akap13	1.00012209018435	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0
Akap2	2.00048844025395	0	0	0	0	10.0122269359159	4.00195439749781	0	2.00048844025395	1.00012209018435	4.00195439749781	0	3.00109916954915	5.00305424361532	5.00305424361532	3.00109916954915	0	6.00439882750478	7.00598826885697	0	0	6.00439882750478	5.00305424361532
Akap8	1.00012209018435	0	2.00048844025395	0	0	6.00439882750478	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915
Akr1a1	2.00048844025395	2.00048844025395	2.00048844025395	0	0	4.00195439749781	2.00048844025395	5.00305424361532	5.00305424361532	3.00109916954915	1.00012209018435	3.00109916954915	4.00195439749781	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	0	3.00109916954915	4.00195439749781
Akt1	0	2.00048844025395	0	0	0	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	0	0	5.00305424361532
Akt2	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	4.00195439749781	3.00109916954915	2.00048844025395	5.00305424361532
