GENEID	X97	X99	X100	X101	X102	X103	X107	X109	X111	X113	X114	X116	X118	X119	X120	X121	X124	X125	X126	X128	X131	X134	X136	X139	X140	X141	X144	X147	X150	X153	X155	X156	X158	X159	X160	X162	X165	X166	X167	X168	X173	X176	X180	X186	X188	X189
Abhd17b	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	6.00439882750478	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0
Ablim1	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0
Ackr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	4.00195439749781	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	9.00990220315199	0	0	0	0
Ackr4	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	15.0275330602518	0	0	0	0	0	0	0	0	0	0
Acot2	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0
Acta2	0	10.0122269359159	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	3.00109916954915	1.00012209018435	0	3.00109916954915	2.00048844025395	0	0	0	4.00195439749781	0	1.00012209018435	0	3.00109916954915	0	0	0	0	4.00195439749781	1.00012209018435	0
Actb	14.0239804397716	8.00782268745052	10.0122269359159	22.0592944438992	8.00782268745052	11.0147970057849	2.00048844025395	2.00048844025395	2.00048844025395	18.0396670359275	10.0122269359159	4.00195439749781	6.00439882750478	30.1104026871881	16.0313316193744	38.1773673823587	60.4437923669776	1.00012209018435	30.1104026871881	22.0592944438992	18.0396670359275	3.00109916954915	22.0592944438992	4.00195439749781	6.00439882750478	4.00195439749781	14.0239804397716	12.0176125328898	34.1418990756402	20.048987655079	114.587990170417	5.00305424361532	4.00195439749781	9.00990220315199	20.048987655079	30.1104026871881	11.0147970057849	6.00439882750478	7.00598826885697	1.00012209018435	7.00598826885697	52.332898627509	11.0147970057849	26.0828704059517	7.00598826885697	2.00048844025395
Actg1	4.00195439749781	0	5.00305424361532	5.00305424361532	4.00195439749781	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	10.0122269359159	11.0147970057849	17.0353762377124	25.0766058142306	0	1.00012209018435	17.0353762377124	4.00195439749781	2.00048844025395	1.00012209018435	2.00048844025395	2.00048844025395	4.00195439749781	6.00439882750478	1.00012209018435	17.0353762377124	0	104.317172351477	1.00012209018435	0	3.00109916954915	2.00048844025395	4.00195439749781	0	1.00012209018435	3.00109916954915	0	3.00109916954915	25.0766058142306	2.00048844025395	5.00305424361532	0	2.00048844025395
Actn4	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	0	0	1.00012209018435	0	0	2.00048844025395	0	3.00109916954915	2.00048844025395	3.00109916954915	0	0	2.00048844025395	2.00048844025395	0	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	4.00195439749781	5.00305424361532	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	3.00109916954915	0	0	0	0	0	5.00305424361532	3.00109916954915	2.00048844025395	0	1.00012209018435
