GENEID	X98	X99	X100	X102	X104	X105	X106	X107	X108	X109	X112	X113	X114	X115	X116	X117	X118	X124	X127	X130	X131	X132	X134	X136	X137	X140	X141	X143	X144	X145	X147	X150	X151	X153	X154	X158	X160	X165	X166	X167	X168	X169	X170	X171	X172	X175	X182	X183	X184	X185	X186	X187	X188	X190	X192
Abi1	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abi3bp	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	2.00048844025395	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acbd6	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	0	0	4.00195439749781	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	0
Aco2	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0
Acp1	0	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0
Acta2	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	22.0592944438992	0	0	0	0	15.0275330602518	0	11.0147970057849	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
Actb	0	20.048987655079	3.00109916954915	65.5212691545208	0	15.0275330602518	43.22730021288	2.00048844025395	16.0313316193744	26.0828704059517	1.00012209018435	2.00048844025395	1.00012209018435	16.0313316193744	53.3458824338344	15.0275330602518	25.0766058142306	13.0206736374495	1.00012209018435	2.00048844025395	14.0239804397716	1.00012209018435	13.0206736374495	18.0396670359275	11.0147970057849	0	0	0	0	2.00048844025395	0	4.00195439749781	6.00439882750478	25.0766058142306	53.3458824338344	0	1.00012209018435	5.00305424361532	16.0313316193744	10.0122269359159	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	43.22730021288	1.00012209018435	1.00012209018435	0	0	0	0
Actg1	0	4.00195439749781	1.00012209018435	18.0396670359275	0	2.00048844025395	11.0147970057849	0	13.0206736374495	12.0176125328898	0	0	0	1.00012209018435	17.0353762377124	4.00195439749781	7.00598826885697	4.00195439749781	0	1.00012209018435	0	0	3.00109916954915	13.0206736374495	5.00305424361532	0	0	0	0	3.00109916954915	0	2.00048844025395	1.00012209018435	4.00195439749781	4.00195439749781	0	0	3.00109916954915	17.0353762377124	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	5.00305424361532	0	0	2.00048844025395	1.00012209018435	0	0
Actn1	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	0	1.00012209018435	4.00195439749781	3.00109916954915	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
Actr3	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0
Adam12	0	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	1.00012209018435	2.00048844025395	0	6.00439882750478	0	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts1	0	7.00598826885697	0	0	0	0	1.00012209018435	0	11.0147970057849	26.0828704059517	0	0	0	0	0	1.00012209018435	2.00048844025395	14.0239804397716	0	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0
Add3	0	0	1.00012209018435	2.00048844025395	0	0	6.00439882750478	0	3.00109916954915	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	5.00305424361532	4.00195439749781	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh1	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	3.00109916954915	0	0	0	0	0	0	1.00012209018435	4.00195439749781	0	0	0	0	0	5.00305424361532	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh5	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adra2a	0	1.00012209018435	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	0	5.00305424361532	3.00109916954915	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
