GENEID	X2	X3	X4	X5	X8	X10	X11	X13	X14	X16	X17	X20	X21	X24	X25	X26	X27	X28	X29	X31	X32	X33	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X51	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X65	X66	X68	X69	X71	X72	X73	X74	X75	X76	X78	X79	X80	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X94	X96
Abca8a	2.00048844025395	7.00598826885697	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	4.00195439749781	0	4.00195439749781	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	6.00439882750478	2.00048844025395	0	2.00048844025395	0	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435
Abcb10	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0
Abcc9	1.00012209018435	5.00305424361532	2.00048844025395	2.00048844025395	2.00048844025395	0	0	0	0	5.00305424361532	0	9.00990220315199	0	2.00048844025395	1.00012209018435	0	2.00048844025395	2.00048844025395	2.00048844025395	0	1.00012209018435	6.00439882750478	0	0	13.0206736374495	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	3.00109916954915	0	3.00109916954915	1.00012209018435	0	4.00195439749781	0	0	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	4.00195439749781	4.00195439749781	4.00195439749781	0	8.00782268745052	5.00305424361532	2.00048844025395	0	0	6.00439882750478	2.00048844025395	2.00048844025395	2.00048844025395	2.00048844025395	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395
Abhd17b	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0
Abi3bp	2.00048844025395	5.00305424361532	2.00048844025395	3.00109916954915	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	0	1.00012209018435	1.00012209018435	0	1.00012209018435	5.00305424361532	0	0	0	0	2.00048844025395	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0	0	0
Ablim1	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435
Acin1	0	0	4.00195439749781	0	0	1.00012209018435	2.00048844025395	0	4.00195439749781	2.00048844025395	0	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	3.00109916954915	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	0	4.00195439749781	0	0	1.00012209018435	8.00782268745052	1.00012209018435	3.00109916954915	0	1.00012209018435
Ackr4	0	0	0	0	0	13.0206736374495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	10.0122269359159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aco2	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	7.00598826885697	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	0	0
Acta2	1.00012209018435	2.00048844025395	0	0	5.00305424361532	0	0	0	0	0	2.00048844025395	12.0176125328898	0	1.00012209018435	1.00012209018435	1.00012209018435	4.00195439749781	9.00990220315199	1.00012209018435	9.00990220315199	0	4.00195439749781	0	1.00012209018435	11.0147970057849	0	0	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	9.00990220315199	1.00012209018435	0	6.00439882750478	0	0	0	0	0	7.00598826885697	17.0353762377124	1.00012209018435	3.00109916954915	0	5.00305424361532	0	12.0176125328898	0	0	1.00012209018435	0	1.00012209018435	16.0313316193744	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0
