GENEID	X97	X98	X99	X100	X102	X103	X104	X105	X106	X107	X109	X110	X111	X112	X113	X116	X117	X118	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X131	X132	X134	X136	X137	X138	X139	X140	X141	X142	X143	X144	X147	X148	X149	X152	X153	X155	X158	X159	X160	X162	X163	X166	X168	X169	X170	X171	X172	X175	X176	X177	X178	X179	X180	X182	X184	X185	X186	X188	X190	X192
A430073D23Rik	0	3.00109916954915	0	19.0442041347699	0	0	2.00048844025395	2.00048844025395	13.0206736374495	6.00439882750478	3.00109916954915	2.00048844025395	1.00012209018435	2.00048844025395	0	2.00048844025395	2.00048844025395	1.00012209018435	0	6.00439882750478	0	5.00305424361532	1.00012209018435	3.00109916954915	0	4.00195439749781	0	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	0	6.00439882750478	2.00048844025395	0	1.00012209018435	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	0	0	4.00195439749781	0	1.00012209018435	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	4.00195439749781	6.00439882750478	2.00048844025395	0	1.00012209018435	0	1.00012209018435
AI607873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0
Aatk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abca1	1.00012209018435	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	2.00048844025395	2.00048844025395	0	0	0	0	0	0	10.0122269359159	2.00048844025395	0	0	0	0	2.00048844025395	0	3.00109916954915	0	3.00109916954915	0	0	0	0	2.00048844025395	0	0	4.00195439749781	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	4.00195439749781	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435
Abca8a	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	0	5.00305424361532	0	0	0	0	4.00195439749781	0	0	2.00048844025395	0	0	0	0	4.00195439749781	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	2.00048844025395	0	9.00990220315199	0	0	1.00012209018435	1.00012209018435
Abcc9	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	2.00048844025395	9.00990220315199	0	0	0	3.00109916954915	0	2.00048844025395	0	0	2.00048844025395	0	0	6.00439882750478	0	0	0	1.00012209018435	0	4.00195439749781	0	0	1.00012209018435	4.00195439749781	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	9.00990220315199	0	0	2.00048844025395	2.00048844025395	5.00305424361532	0	1.00012209018435	0	6.00439882750478	1.00012209018435	5.00305424361532	3.00109916954915	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	4.00195439749781	0	5.00305424361532	1.00012209018435	0	1.00012209018435	1.00012209018435
Abhd16a	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	3.00109916954915	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0
Abi3bp	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	3.00109916954915	0	1.00012209018435	0	2.00048844025395	0	3.00109916954915	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	3.00109916954915	3.00109916954915	3.00109916954915	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	6.00439882750478	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395
Ackr4	0	0	0	0	0	0	2.00048844025395	0	0	0	15.0275330602518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	6.00439882750478	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435
