GENEID	X2	X3	X4	X6	X7	X9	X10	X13	X18	X20	X21	X23	X25	X32	X33	X35	X37	X39	X40	X41	X42	X46	X50	X58	X60	X62	X63	X65	X66	X67	X69	X70	X71	X72	X73	X74	X78	X81	X83	X84	X85	X88	X89	X91	X93	X94	X95
Acp1	0	0	2.00048844025395	0	3.00109916954915	8.00782268745052	0	0	0	2.00048844025395	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435
Acta2	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	5.00305424361532	0	1.00012209018435	0	15.0275330602518	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	60.4437923669776	0	0	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	22.0592944438992	1.00012209018435	0	0	7.00598826885697	0	0	0
Actb	55.3726019210037	0	24.0705883708827	8.00782268745052	15.0275330602518	53.3458824338344	12.0176125328898	7.00598826885697	7.00598826885697	16.0313316193744	8.00782268745052	57.4003247346927	53.3458824338344	55.3726019210037	0	17.0353762377124	75.6951442311975	7.00598826885697	20.048987655079	8.00782268745052	41.2065798956254	4.00195439749781	28.0961415204583	12.0176125328898	14.0239804397716	53.3458824338344	10.0122269359159	24.0705883708827	6.00439882750478	73.6583465760993	23.0648179545339	8.00782268745052	2.00048844025395	12.0176125328898	26.0828704059517	4.00195439749781	8.00782268745052	21.0540177177831	43.22730021288	18.0396670359275	30.1104026871881	46.2602511104364	2.00048844025395	54.3591168236642	52.332898627509	7.00598826885697	28.0961415204583
Actg1	3.00109916954915	1.00012209018435	8.00782268745052	15.0275330602518	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	12.0176125328898	4.00195439749781	5.00305424361532	34.1418990756402	6.00439882750478	7.00598826885697	0	4.00195439749781	50.3076822698104	0	3.00109916954915	2.00048844025395	14.0239804397716	0	3.00109916954915	5.00305424361532	5.00305424361532	13.0206736374495	6.00439882750478	13.0206736374495	0	46.2602511104364	17.0353762377124	1.00012209018435	1.00012209018435	5.00305424361532	7.00598826885697	1.00012209018435	3.00109916954915	3.00109916954915	34.1418990756402	10.0122269359159	30.1104026871881	15.0275330602518	0	6.00439882750478	34.1418990756402	2.00048844025395	12.0176125328898
Actn1	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	2.00048844025395	3.00109916954915	0	0	1.00012209018435	3.00109916954915	0	0	5.00305424361532	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	3.00109916954915	0	0	0	4.00195439749781	0	3.00109916954915	1.00012209018435	5.00305424361532	0	2.00048844025395	0	0	0
Actn4	1.00012209018435	0	0	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	3.00109916954915	0	3.00109916954915	1.00012209018435	7.00598826885697	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	4.00195439749781	6.00439882750478	1.00012209018435	0	6.00439882750478	1.00012209018435	0	1.00012209018435	3.00109916954915	3.00109916954915	0	0	3.00109916954915	4.00195439749781	2.00048844025395	1.00012209018435	4.00195439749781	0	1.00012209018435	6.00439882750478	2.00048844025395	2.00048844025395
Actr2	5.00305424361532	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	0	0	0	2.00048844025395	1.00012209018435	0	0	4.00195439749781	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0
Adam10	0	0	0	0	0	8.00782268745052	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435
Adam15	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395
Adamts1	41.2065798956254	0	0	0	16.0313316193744	0	0	0	5.00305424361532	0	0	3.00109916954915	5.00305424361532	0	0	0	1.00012209018435	0	11.0147970057849	15.0275330602518	1.00012209018435	0	0	1.00012209018435	0	11.0147970057849	1.00012209018435	0	0	12.0176125328898	5.00305424361532	0	0	0	2.00048844025395	0	0	2.00048844025395	14.0239804397716	0	3.00109916954915	0	0	0	8.00782268745052	0	8.00782268745052
