GENEID	X101	X102	X110	X111	X112	X113	X118	X120	X124	X125	X126	X127	X128	X133	X134	X135	X136	X138	X140	X143	X144	X151	X152	X157	X159	X160	X161	X165	X167	X168	X173	X175	X176	X179	X181	X184	X185	X187	X190	X192
2510009E07Rik	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0
2810474O19Rik	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	3.00109916954915	2.00048844025395	0	0	0	10.0122269359159	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	1.00012209018435	0	3.00109916954915	0	0	0	3.00109916954915	0	0	4.00195439749781	0
4833403J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	0	0	0	0	0	0	0	0	0	5.00305424361532	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0
4933427J07Rik	0	0	0	0	5.00305424361532	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	0	3.00109916954915	0	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915
5330406M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	6.00439882750478	6.00439882750478	7.00598826885697	7.00598826885697	14.0239804397716	3.00109916954915	1.00012209018435	28.0961415204583	1.00012209018435	2.00048844025395	3.00109916954915	8.00782268745052	11.0147970057849	0	11.0147970057849	1.00012209018435	6.00439882750478	14.0239804397716	8.00782268745052	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	0	5.00305424361532	6.00439882750478	0	1.00012209018435	3.00109916954915	0	2.00048844025395	8.00782268745052	5.00305424361532	1.00012209018435	7.00598826885697	7.00598826885697	1.00012209018435	5.00305424361532	5.00305424361532
A430073D23Rik	16.0313316193744	5.00305424361532	14.0239804397716	11.0147970057849	53.3458824338344	9.00990220315199	9.00990220315199	66.5375202452072	0	11.0147970057849	10.0122269359159	30.1104026871881	41.2065798956254	6.00439882750478	19.0442041347699	13.0206736374495	34.1418990756402	49.2954494708865	7.00598826885697	15.0275330602518	8.00782268745052	15.0275330602518	0	20.048987655079	11.0147970057849	10.0122269359159	4.00195439749781	1.00012209018435	0	8.00782268745052	0	11.0147970057849	17.0353762377124	33.1336529167031	1.00012209018435	29.1031482864402	34.1418990756402	5.00305424361532	19.0442041347699	20.048987655079
AI314180	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	4.00195439749781	0	0	0	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	7.00598826885697	0	0	0	0	0	0	0	0	4.00195439749781	0	3.00109916954915	0	0	0	0
AI506816	2.00048844025395	0	1.00012209018435	3.00109916954915	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	2.00048844025395	0	0	2.00048844025395	9.00990220315199	0	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	3.00109916954915	0	0	10.0122269359159	0	0	4.00195439749781	0
AI607873	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	10.0122269359159	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0
AI838599	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	5.00305424361532	0	0	2.00048844025395	0	1.00012209018435	0	5.00305424361532	5.00305424361532	0	1.00012209018435	0	0	4.00195439749781	3.00109916954915	0	0	2.00048844025395	1.00012209018435	0	3.00109916954915	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	0	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435
