GENEID	X1	X3	X6	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X22	X24	X26	X27	X28	X29	X30	X31	X32	X33	X35	X36	X37	X38	X39	X40	X41	X43	X44	X45	X46	X48	X49	X50	X51	X54	X55	X56	X58	X60	X61	X63	X65	X66	X68	X69	X71	X72	X73	X74	X75	X76	X77	X79	X80	X81	X83	X84	X86	X87	X88	X89	X91	X92	X93	X95	X96
Lims1	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	0	0	3.00109916954915	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	4.00195439749781	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	6.00439882750478	0	2.00048844025395	0	0	4.00195439749781	1.00012209018435	0	2.00048844025395	0	1.00012209018435
Lipa	0	0	0	3.00109916954915	0	1.00012209018435	0	0	3.00109916954915	4.00195439749781	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	1.00012209018435
Lmna	0	3.00109916954915	3.00109916954915	2.00048844025395	5.00305424361532	0	0	0	2.00048844025395	3.00109916954915	5.00305424361532	0	3.00109916954915	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	1.00012209018435	0	0	0	4.00195439749781	0	0	3.00109916954915	0	5.00305424361532	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	13.0206736374495	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435
Lmnb1	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0
Lmo2	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0
Lmo4	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	3.00109916954915	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0
Lockd	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
Lox	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpar1	0	0	10.0122269359159	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435	7.00598826885697	2.00048844025395	0	0	0	0	2.00048844025395	0	6.00439882750478	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	5.00305424361532	0	8.00782268745052	0	10.0122269359159	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	9.00990220315199	0	0	4.00195439749781	0
Lpl	0	0	13.0206736374495	5.00305424361532	0	0	0	0	2.00048844025395	0	3.00109916954915	2.00048844025395	3.00109916954915	0	0	0	4.00195439749781	0	7.00598826885697	3.00109916954915	0	0	13.0206736374495	0	0	29.1031482864402	0	31.1179048445245	2.00048844025395	0	0	13.0206736374495	0	0	4.00195439749781	45.2490179242113	4.00195439749781	32.1256548803621	13.0206736374495	6.00439882750478	0	4.00195439749781	1.00012209018435	0	0	6.00439882750478	0	0	8.00782268745052	20.048987655079	2.00048844025395	0	0	28.0961415204583	3.00109916954915	17.0353762377124	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	0	5.00305424361532	0	0	3.00109916954915	7.00598826885697	0	1.00012209018435	1.00012209018435	0
