GENEID	X110	X118	X121	X124	X125	X135	X149	X151	X152	X153	X191
Cbx3	2.00048844025395	6.00439882750478	1.00012209018435	0	1.00012209018435	3.00109916954915	0	2.00048844025395	0	0	0
Cbx6	3.00109916954915	1.00012209018435	4.00195439749781	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	6.00439882750478	0
Ccdc80	2.00048844025395	1.00012209018435	5.00305424361532	3.00109916954915	4.00195439749781	0	3.00109916954915	3.00109916954915	1.00012209018435	10.0122269359159	2.00048844025395
Ccl19	5.00305424361532	3.00109916954915	8.00782268745052	0	2.00048844025395	0	0	2.00048844025395	7.00598826885697	1.00012209018435	2.00048844025395
Ccl2	8.00782268745052	6.00439882750478	5.00305424361532	2.00048844025395	22.0592944438992	0	9.00990220315199	2.00048844025395	0	0	0
Ccl7	0	15.0275330602518	2.00048844025395	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	0
Ccnd2	2.00048844025395	0	5.00305424361532	0	3.00109916954915	0	0	3.00109916954915	0	0	4.00195439749781
Ccng2	2.00048844025395	0	0	0	0	6.00439882750478	0	0	0	0	0
Ccnl1	1.00012209018435	0	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	7.00598826885697	1.00012209018435
Cct3	5.00305424361532	0	0	0	0	0	0	0	0	0	0
Cd19	0	1.00012209018435	0	0	0	6.00439882750478	0	0	0	0	0
Cd24a	0	0	0	1.00012209018435	1.00012209018435	7.00598826885697	0	0	0	0	0
Cd37	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	0	0
Cd47	2.00048844025395	2.00048844025395	0	3.00109916954915	5.00305424361532	3.00109916954915	2.00048844025395	3.00109916954915	0	1.00012209018435	1.00012209018435
Cd63	12.0176125328898	3.00109916954915	4.00195439749781	2.00048844025395	4.00195439749781	1.00012209018435	0	3.00109916954915	2.00048844025395	4.00195439749781	7.00598826885697
Cd79b	0	0	0	0	0	12.0176125328898	0	0	0	0	0
Cd81	2.00048844025395	4.00195439749781	4.00195439749781	6.00439882750478	2.00048844025395	0	4.00195439749781	0	8.00782268745052	3.00109916954915	4.00195439749781
Cdh11	8.00782268745052	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0
Celf2	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	5.00305424361532	0	3.00109916954915	0	2.00048844025395	1.00012209018435
