GENEID	X97	X98	X99	X100	X101	X102	X103	X105	X106	X110	X111	X112	X113	X114	X115	X117	X120	X121	X124	X125	X128	X129	X130	X133	X134	X136	X137	X140	X142	X143	X145	X146	X148	X152	X154	X155	X157	X159	X162	X163	X165	X166	X167	X170	X172	X173	X176	X177	X178	X180	X182	X183	X186	X187	X188	X191
Abcc9	2.00048844025395	2.00048844025395	3.00109916954915	0	4.00195439749781	5.00305424361532	0	2.00048844025395	7.00598826885697	1.00012209018435	0	0	0	0	4.00195439749781	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	5.00305424361532	0
Abcg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435
Ablim1	2.00048844025395	0	0	0	0	2.00048844025395	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	3.00109916954915	3.00109916954915	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	5.00305424361532	0	0	0	3.00109916954915
Acadl	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	8.00782268745052
Ackr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acox1	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Acta2	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	2.00048844025395	0	2.00048844025395	0	0	2.00048844025395	0	1.00012209018435	0	0	0	22.0592944438992	20.048987655079	9.00990220315199	6.00439882750478	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0
Actb	19.0442041347699	18.0396670359275	4.00195439749781	5.00305424361532	7.00598826885697	13.0206736374495	11.0147970057849	7.00598826885697	6.00439882750478	2.00048844025395	6.00439882750478	16.0313316193744	8.00782268745052	3.00109916954915	17.0353762377124	2.00048844025395	24.0705883708827	22.0592944438992	5.00305424361532	4.00195439749781	49.2954494708865	40.1965934523377	14.0239804397716	4.00195439749781	19.0442041347699	21.0540177177831	55.3726019210037	12.0176125328898	48.283466760365	9.00990220315199	0	6.00439882750478	3.00109916954915	7.00598826885697	2.00048844025395	14.0239804397716	6.00439882750478	11.0147970057849	23.0648179545339	2.00048844025395	2.00048844025395	2.00048844025395	27.0893822675098	14.0239804397716	8.00782268745052	7.00598826885697	50.3076822698104	10.0122269359159	0	1.00012209018435	38.1773673823587	19.0442041347699	0	3.00109916954915	17.0353762377124	67.5540235386734
Actg1	5.00305424361532	3.00109916954915	0	0	0	9.00990220315199	0	2.00048844025395	2.00048844025395	2.00048844025395	0	7.00598826885697	0	1.00012209018435	7.00598826885697	8.00782268745052	10.0122269359159	3.00109916954915	0	4.00195439749781	6.00439882750478	7.00598826885697	6.00439882750478	0	9.00990220315199	5.00305424361532	15.0275330602518	9.00990220315199	9.00990220315199	5.00305424361532	0	2.00048844025395	2.00048844025395	5.00305424361532	0	4.00195439749781	26.0828704059517	15.0275330602518	2.00048844025395	0	1.00012209018435	0	4.00195439749781	0	0	1.00012209018435	39.186855988824	3.00109916954915	0	7.00598826885697	38.1773673823587	16.0313316193744	0	2.00048844025395	5.00305424361532	49.2954494708865
Actn1	1.00012209018435	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	6.00439882750478	3.00109916954915	0	0	1.00012209018435	0	4.00195439749781	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	19.0442041347699
Actn4	0	1.00012209018435	0	0	0	4.00195439749781	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	2.00048844025395	7.00598826885697	5.00305424361532	1.00012209018435	0	0	0	0	0	0	2.00048844025395	5.00305424361532	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	2.00048844025395	2.00048844025395	4.00195439749781	0	0	0	3.00109916954915	0	0	2.00048844025395	4.00195439749781	0	0	3.00109916954915	3.00109916954915	3.00109916954915	0	0	0	7.00598826885697
Actr1a	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	2.00048844025395	0	0	0	0	1.00012209018435	0	5.00305424361532
Adamts1	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	6.00439882750478	0	0	0	3.00109916954915	9.00990220315199	6.00439882750478	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	4.00195439749781	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	0	3.00109916954915	9.00990220315199	1.00012209018435	0	0	0	5.00305424361532
