GENEID	X97	X98	X100	X102	X103	X104	X108	X109	X110	X111	X113	X114	X115	X116	X117	X120	X121	X125	X126	X127	X129	X131	X132	X134	X135	X140	X141	X142	X143	X144	X145	X147	X149	X150	X151	X152	X153	X154	X156	X157	X158	X159	X161	X162	X163	X164	X165	X166	X167	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X180	X181	X182	X183	X184	X186	X188	X189	X190	X191	X192
Abca8a	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	8.00782268745052	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	3.00109916954915	1.00012209018435	0	0	0	0	0	7.00598826885697	9.00990220315199	0	0	6.00439882750478	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	6.00439882750478	2.00048844025395	0	0	0	0	4.00195439749781	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0
Abcg2	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0147970057849	2.00048844025395	0	0	0	0	1.00012209018435	4.00195439749781	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	6.00439882750478	0	12.0176125328898	0	0	6.00439882750478	0	0	8.00782268745052
Abhd4	1.00012209018435	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	0	0	0	0	0
Abi3bp	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	4.00195439749781	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0
Ackr1	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.048987655079	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	25.0766058142306	1.00012209018435	1.00012209018435	0	0	1.00012209018435	3.00109916954915
Ackr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0
Ackr3	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0
Ackr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta2	2.00048844025395	16.0313316193744	10.0122269359159	0	0	0	0	0	0	28.0961415204583	0	0	0	0	1.00012209018435	0	0	17.0353762377124	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	10.0122269359159	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0
