GENEID	X3	X7	X14	X22	X36	X39	X41	X46	X47	X48	X50	X61	X62	X64	X65	X70	X72	X73	X74	X78	X80	X81	X84	X92	X94
C1ra	1.00012209018435	10.0122269359159	9.00990220315199	0	0	0	1.00012209018435	0	3.00109916954915	5.00305424361532	4.00195439749781	0	1.00012209018435	2.00048844025395	3.00109916954915	2.00048844025395	5.00305424361532	1.00012209018435	2.00048844025395	9.00990220315199	5.00305424361532	0	0	4.00195439749781	2.00048844025395
C1s1	0	20.048987655079	5.00305424361532	1.00012209018435	1.00012209018435	0	1.00012209018435	5.00305424361532	3.00109916954915	5.00305424361532	1.00012209018435	0	2.00048844025395	4.00195439749781	7.00598826885697	15.0275330602518	6.00439882750478	2.00048844025395	4.00195439749781	9.00990220315199	5.00305424361532	0	0	11.0147970057849	2.00048844025395
C2	0	13.0206736374495	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	6.00439882750478	0	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	0	0	0	3.00109916954915	0	0	0	0	4.00195439749781
C3	3.00109916954915	89.9811577167838	18.0396670359275	12.0176125328898	0	1.00012209018435	11.0147970057849	14.0239804397716	17.0353762377124	55.3726019210037	37.1681275103067	0	5.00305424361532	32.1256548803621	23.0648179545339	69.5877872348756	33.1336529167031	23.0648179545339	18.0396670359275	22.0592944438992	50.3076822698104	4.00195439749781	0	40.1965934523377	25.0766058142306
C4a	0	6.00439882750478	2.00048844025395	0	0	0	3.00109916954915	2.00048844025395	5.00305424361532	7.00598826885697	8.00782268745052	0	0	7.00598826885697	6.00439882750478	10.0122269359159	7.00598826885697	1.00012209018435	4.00195439749781	8.00782268745052	12.0176125328898	0	0	5.00305424361532	2.00048844025395
Cald1	0	7.00598826885697	6.00439882750478	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	5.00305424361532	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	3.00109916954915	0	2.00048844025395	0
Calm1	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	0	0	5.00305424361532	0	0	1.00012209018435	6.00439882750478	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	3.00109916954915	3.00109916954915	0
Calr	0	14.0239804397716	8.00782268745052	3.00109916954915	0	1.00012209018435	7.00598826885697	0	1.00012209018435	6.00439882750478	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	7.00598826885697	6.00439882750478	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435
Canx	0	5.00305424361532	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	4.00195439749781	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	3.00109916954915	2.00048844025395
Capns1	0	4.00195439749781	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	5.00305424361532	0	0	1.00012209018435	0
