GENEID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X32	X33	X34	X35	X37	X38	X39	X40	X42	X44	X45	X47	X49	X50	X52	X53	X54	X55	X56	X57	X58	X60	X61	X62	X63	X65	X66	X67	X68	X69	X71	X73	X74	X75	X76	X77	X78	X79	X81	X82	X83	X84	X85	X86	X87	X88	X90	X91	X92	X93	X94	X95	X96
9930111J21Rik1	0	4.00195439749781	1.00012209018435	2.00048844025395	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0	2.00048844025395	0	2.00048844025395	6.00439882750478	13.0206736374495	0	0	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	3.00109916954915	0	0	0	15.0275330602518	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	4.00195439749781	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435
A430073D23Rik	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	4.00195439749781	1.00012209018435	0	1.00012209018435	0	0	0	3.00109916954915	0	3.00109916954915	2.00048844025395	4.00195439749781	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	3.00109916954915	3.00109916954915	7.00598826885697	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	5.00305424361532	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	2.00048844025395	0	2.00048844025395	1.00012209018435	6.00439882750478	10.0122269359159	1.00012209018435	2.00048844025395	1.00012209018435	0	3.00109916954915	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	0	1.00012209018435
AU020206	7.00598826885697	0	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	4.00195439749781	0	0
Abca1	0	3.00109916954915	0	1.00012209018435	4.00195439749781	3.00109916954915	0	2.00048844025395	2.00048844025395	5.00305424361532	0	0	0	2.00048844025395	4.00195439749781	5.00305424361532	0	0	2.00048844025395	0	0	0	0	2.00048844025395	0	4.00195439749781	0	3.00109916954915	3.00109916954915	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	5.00305424361532	0	0	0	2.00048844025395	0	5.00305424361532	0	0	1.00012209018435	0	0	4.00195439749781	0	0	1.00012209018435	2.00048844025395	0	7.00598826885697	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	0	7.00598826885697	1.00012209018435	0	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0	5.00305424361532
Abca8a	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	0	2.00048844025395	0
Abcb10	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	4.00195439749781	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0122269359159	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0
Abcb1b	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0
Abcc9	0	3.00109916954915	0	0	0	10.0122269359159	0	1.00012209018435	5.00305424361532	0	0	2.00048844025395	1.00012209018435	0	0	0	2.00048844025395	0	6.00439882750478	3.00109916954915	3.00109916954915	0	4.00195439749781	2.00048844025395	0	6.00439882750478	0	1.00012209018435	6.00439882750478	0	1.00012209018435	0	5.00305424361532	3.00109916954915	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	0	1.00012209018435	0	4.00195439749781	0	0	2.00048844025395	0	6.00439882750478	5.00305424361532	0	0	0	3.00109916954915	0	0	1.00012209018435	7.00598826885697	2.00048844025395	0	9.00990220315199	0	5.00305424361532	1.00012209018435	5.00305424361532	3.00109916954915	5.00305424361532	0	2.00048844025395	0	2.00048844025395	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	0	9.00990220315199	0
Abce1	5.00305424361532	3.00109916954915	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0
Abcf1	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	6.00439882750478	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0
